sdate,line_t,line_tmq,line_tvza,line_tvaa,line_tm2,line_QFDNB,line_tm_buf
735235,1406,0,835,9809,1,0,1
735236,1596,0,3525,9731,1,0,1
735237,1440,0,5345,9445,3,0,1
735238,1946,1,4930,-7205,1,0,1
735239,1085,0,2985,-7520,1,0,1
735240,65535,255,180,-7406,0,0,0
735241,628,0,2728,9762,1,0,1
735242,1355,0,4831,9552,1,0,1
735243,857,0,5403,-7084,1,0,1
735244,89,0,3723,-7438,1,0,1
735245,790,0,1179,-7839,1,0,1
735246,163,0,1837,9827,1,0,1
735247,717,0,4235,9697,1,0,1
735248,65535,255,5803,9361,0,0,0
735249,826,0,4366,-7371,1,0,1
735250,825,0,2120,-7663,1,0,1
735251,1061,0,858,9774,1,0,1
735252,1071,0,3538,9721,1,0,1
735253,65535,255,5353,9433,0,0,0
735254,65535,255,4927,-7189,0,0,0
735255,1310,0,2980,-7489,1,0,1
735256,221,0,184,-6689,1,0,1
735257,1518,0,2723,9903,1,0,1
735258,932,0,4825,9526,1,0,1
735259,1121,0,5411,-7130,1,0,1
735260,1145,0,3735,-7388,1,0,1
735261,65535,255,1203,-7726,0,0,0
735262,1151,0,1808,9974,1,0,1
735263,65535,255,4214,9646,0,0,0
735264,125,2,5786,9367,1,0,1
735265,536,0,4390,-7316,1,0,1
735266,758,0,2157,-7553,1,0,1
735267,65535,255,811,10172,0,0,0
735268,2042,1,3504,9821,1,0,1
735269,65535,255,5329,9484,0,0,0
735270,1689,0,4945,-7180,1,0,1
735271,65535,255,3014,-7485,0,0,0
735272,1079,0,224,-6891,1,0,1
735273,1304,0,2688,9920,1,0,1
735274,65535,255,4803,9540,0,0,0
735275,65535,255,5425,-7094,0,0,0
735276,65535,255,3763,-7431,0,0,0
735277,1327,0,1237,-7884,1,0,1
735278,543,0,1771,9811,1,0,0
735279,1676,0,4189,9705,1,0,1
735280,764,0,5770,9365,1,0,1
735281,165,0,4407,-7288,1,0,1
735282,65535,255,2186,-7611,0,0,0
735283,733,0,776,10052,1,0,1
735284,809,0,3474,9807,1,0,1
735285,998,0,5311,9495,1,0,1
735286,1519,1,4960,-7182,1,0,1
735287,1007,0,3037,-7502,1,0,1
735288,657,0,256,-7401,1,0,1
