sdate,line_t,line_tmq,line_tvza,line_tvaa,line_tm2,line_QFDNB,line_tm_buf
735235,396,0,2437,9876,1,0,1
735236,65535,255,4482,9616,0,0,0
735237,380,0,5124,-6903,1,0,1
735238,340,0,3509,-7290,1,0,1
735239,65535,255,1159,-7798,0,0,0
735240,178,0,1595,10143,1,0,1
735241,468,0,3889,9751,1,0,1
735242,65535,255,5463,9382,0,0,0
735243,65535,255,4114,-7095,0,0,0
735244,65535,255,2010,-7537,0,0,0
735245,65535,255,702,9867,0,0,0
735246,65535,255,3221,9820,0,0,0
735247,65535,255,5015,9497,0,0,0
735248,65535,255,4647,-7055,0,0,0
735249,65535,255,2792,-7423,0,0,0
735250,65535,255,223,-6924,0,0,0
735251,65535,255,2456,10004,0,0,0
735252,383,0,4495,9576,1,0,1
735253,65535,255,5119,-6946,0,0,0
735254,65535,255,3500,-7230,0,0,0
735255,65535,255,1152,-7568,0,0,0
735256,65535,255,1595,10029,0,0,0
735257,422,0,3889,9690,1,0,0
735258,65535,255,5460,9411,0,0,0
735259,140,0,4122,-7136,1,0,1
735260,65535,255,2021,-7361,0,0,0
735261,392,0,678,10106,1,0,1
735262,65535,255,3199,9852,0,0,0
735263,369,0,4999,9511,1,0,1
735264,65535,255,4666,-7062,0,0,0
735265,65535,255,2821,-7441,0,0,0
735266,65535,255,262,-8055,0,0,0
735267,65535,255,2421,9918,0,0,0
735268,65535,255,4468,9644,0,0,0
735269,65535,255,5136,-6926,0,0,0
735270,371,0,3526,-7209,1,0,0
735271,353,0,1186,-7536,1,0,0
735272,65535,255,1561,10033,0,0,0
735273,196,0,3865,9701,1,0,1
735274,65535,255,5442,9398,0,0,0
735275,117,0,4143,-7158,1,0,1
735276,65535,255,2052,-7436,0,0,0
735277,65535,255,643,10364,0,0,0
735278,65535,255,3172,9769,0,0,0
735279,724,0,4982,9471,3,0,0
735280,1537,0,4683,-7022,3,0,0
735281,65535,255,2844,-7381,0,0,0
735282,607,0,296,-7561,3,0,1
735283,65535,255,2392,9868,0,0,0
735284,437,0,4448,9630,3,0,1
735285,298,0,5148,-6922,1,0,1
735286,65535,255,3547,-7205,0,0,0
735287,65535,255,1214,-7562,0,0,0
735288,65535,255,1535,10079,0,0,0
735289,0,0,0,0,0,0,0
735290,65535,255,5429,9362,0,0,0
735291,364,0,4162,-7168,1,0,1
735292,65535,255,2078,-7448,0,0,1
735293,65535,255,614,10375,0,0,0
735294,393,0,3145,9909,1,0,1
735295,65535,255,4961,9542,0,0,0
735296,499,0,4696,-7001,1,0,1
735297,340,0,2868,-7323,1,0,1
735298,420,0,328,-6967,1,0,1
735299,0,0,0,0,0,0,0
735300,65535,255,4432,9576,0,0,0
735301,65535,255,5160,-6877,0,0,0
735302,65535,255,3569,-7260,0,0,0
735303,65535,255,1243,-7694,0,0,0
735304,65535,255,1502,10149,0,0,0
735305,65535,255,3818,9749,0,0,0
735306,65535,255,5412,9381,0,0,0
735307,588,0,4180,-7096,1,0,1
735308,228,0,2105,-7552,1,0,1
735309,378,0,586,9938,1,0,1
735310,65535,255,3123,9844,0,0,0
735311,65535,255,4946,9518,0,0,0
735312,362,0,4709,-6992,1,0,1
735313,337,0,2891,-7319,1,0,1
735314,124,0,350,-7103,1,0,1
735315,362,0,2338,10025,1,0,1
735316,65535,255,4415,9605,0,0,0
735317,65535,255,5171,-6909,0,0,0
735318,65535,255,3582,-7190,0,0,0
735319,65535,255,1265,-7530,0,0,0
735320,65535,255,1479,10065,0,0,0
735321,65535,255,3805,9728,0,0,0
735322,65535,255,5404,9373,0,0,0
735323,65535,255,4190,-7107,0,0,0
735324,302,0,2123,-7478,1,0,1
735325,65535,255,568,10165,0,0,0
735326,65535,255,3110,9906,0,0,0
735327,65535,255,4938,9476,0,0,0
735328,558,0,4722,-7041,1,0,1
735329,65535,255,2904,-7388,0,0,0
735330,342,0,374,-8291,1,0,1
735331,65535,255,2327,10013,0,0,0
735332,65535,255,4405,9607,0,0,0
735333,65535,255,5179,-6923,0,0,0
735334,346,0,3594,-7230,1,0,1
735335,264,2,1277,-7711,1,0,1
735336,65535,255,1475,9907,0,0,0
735337,514,0,3798,9682,1,0,1
735338,370,0,5399,9413,1,0,1
735339,485,0,4198,-7099,1,0,1
735340,65535,255,2131,-7366,0,0,0
735341,65535,255,556,10404,0,0,0
735342,394,0,3105,9808,1,0,1
735343,65535,255,4934,9521,0,0,1
735344,65535,255,4725,-7017,0,0,0
