sdate,line_t,line_tmq,line_tvza,line_tvaa,line_tm2,line_QFDNB,line_tm_buf
735235,65535,255,5220,9784,0,0,1
735236,14,0,6628,-7942,1,0,1
735237,42,0,5107,-7989,1,0,1
735238,22,0,2438,-8062,1,0,1
735239,14,0,1428,9739,1,0,1
735240,9,2,4521,9798,1,0,1
735241,40,0,6298,9755,1,0,1
735242,56,0,5703,-8014,1,0,1
735243,35,0,3489,-8081,1,0,1
735244,65535,255,127,10054,0,0,0
735245,62,0,3671,9850,1,0,1
735246,65535,255,5816,9758,0,0,1
735247,25,0,6197,-7981,1,0,1
735248,44,0,4364,-8055,1,0,1
735249,14,0,1186,-7949,1,0,1
735250,63,0,2653,9877,1,0,1
735251,65535,255,5235,9787,0,0,0
735252,6,0,6621,-7945,1,0,1
735253,65535,255,5099,-8031,0,0,0
735254,37,0,2427,-8088,1,0,1
735255,30,0,1433,9925,1,0,1
735256,52,2,4520,9848,1,0,0
735257,65535,255,6295,9761,0,0,0
735258,65535,255,5705,-7971,0,0,0
735259,64,2,3499,-8030,1,0,1
735260,65535,255,103,11731,0,0,0
735261,65535,255,3647,9883,0,0,0
735262,24,0,5799,9772,1,0,1
735263,14,0,6211,-7988,1,0,1
735264,6,0,4392,-8061,1,0,1
735265,69,2,1237,-7983,1,0,1
735266,64,2,2604,9781,1,0,1
735267,17,0,5206,9795,1,0,1
735268,45,0,6637,-7954,1,0,1
735269,31,0,5125,-8009,1,0,0
735270,18,0,2474,-8126,1,0,1
735271,17,0,1377,9880,1,0,1
735272,40,0,4487,9842,1,0,1
735273,65535,255,6276,9762,0,0,0
735274,65535,255,5725,-7978,0,0,0
735275,53,0,3537,-8055,1,0,1
735276,65535,255,63,6353,0,0,0
735277,65535,255,3614,9793,0,0,0
735278,63,0,5779,9798,1,0,1
735279,21,0,6226,-7957,1,0,1
735280,22,0,4419,-8016,1,0,0
735281,9,0,1288,-8219,1,0,1
735282,21,0,2559,9905,1,0,1
735283,65535,255,5184,9775,0,0,0
735284,65535,255,6649,-7943,0,0,0
735285,62,0,5145,-8003,1,0,0
735286,65535,255,2513,-8124,0,0,0
735287,65535,255,1337,9883,0,0,0
735288,6,2,4457,9849,1,0,1
735289,15,0,6258,9770,1,0,1
735290,65535,255,5742,-7986,0,0,0
735291,65535,255,3568,-8063,0,0,0
735292,15,0,37,1644,1,0,1
735293,65535,255,3581,9786,0,0,0
735294,65535,255,5760,9790,0,0,0
735295,65535,255,6241,-7944,0,0,0
735296,65535,255,4446,-7989,0,0,0
735297,65535,255,1327,-8088,0,0,0
735298,65535,255,2519,9831,0,0,0
735299,10,0,5158,9817,1,0,1
735300,65535,255,6661,-7917,0,0,0
735301,65535,255,5168,-8033,0,0,0
735302,65535,255,2548,-7998,0,0,0
735303,65535,255,1292,10013,0,0,0
735304,19,0,4433,9775,1,0,1
735305,19,0,6243,9779,1,0,1
735306,65535,255,5761,-8002,0,0,0
735307,0,0,0,0,0,0,0
735308,65535,255,41,-8643,0,0,0
735309,65535,255,3546,9854,0,0,0
735310,67,0,5743,9765,1,0,1
735311,18,0,6256,-7985,1,0,1
735312,65535,255,4473,-8070,0,0,0
735313,65535,255,1366,-8064,0,0,0
735314,0,0,0,0,0,0,0
735315,0,0,0,0,0,0,0
735316,65535,255,6658,9763,0,0,0
735317,65535,255,5185,-7986,0,0,0
735318,65535,255,2582,-8096,0,0,0
735319,65535,255,1258,9858,0,0,0
735320,65535,255,4413,9851,0,0,0
735321,65535,255,6234,9771,0,0,0
735322,0,0,0,0,0,0,0
735323,33,0,3621,-8079,1,0,1
735324,65535,255,73,-9788,0,0,0
735325,65535,255,3529,9813,0,0,0
735326,43,0,5733,9791,1,0,1
735327,65535,255,6265,-7958,0,0,0
735328,65535,255,4486,-8039,0,0,0
735329,65535,255,1389,-7968,0,0,0
735330,65535,255,2465,9806,0,0,0
735331,0,0,0,0,0,0,0
735332,65535,255,6652,9767,0,0,0
735333,65535,255,5198,-8001,0,0,0
735334,65535,255,2602,-8157,0,0,0
735335,17,0,1237,9917,1,0,1
735336,26,0,4403,9807,1,0,1
735337,0,0,0,0,0,0,0
735338,65535,255,5782,-7993,0,0,0
735339,65535,255,3636,-8055,0,0,0
735340,65535,255,93,-10163,0,0,0
735341,65535,255,3521,9795,0,0,0
735342,18,2,5730,9752,1,0,0
735343,8,0,6270,-7970,1,0,1
735344,65535,255,4496,-8007,0,0,0
735345,65535,255,1401,-7922,0,0,0
735346,65535,255,2460,9806,0,0,0
735347,65535,255,5129,9762,0,0,0
735348,65535,255,6653,9730,0,0,0
735349,14,0,5201,-8031,1,0,1
735350,65535,255,2602,-8060,0,0,0
735351,65535,255,1235,9887,0,0,0
735352,43,0,4406,9782,1,0,1
735353,65535,255,6230,9746,0,0,0
735354,65535,255,5784,-7988,0,0,0
735355,65535,255,3634,-7995,0,0,0
735356,0,0,0,0,0,0,0
735357,25,0,3520,9838,1,0,1
735358,65,0,5730,9783,1,0,1
735359,0,0,0,0,0,0,0
735360,65535,255,4495,-8056,0,0,0
735361,0,0,0,0,0,0,0
735362,65535,255,2465,9794,0,0,0
735363,65535,255,5134,9767,0,0,0
735364,65535,255,6654,9741,0,0,0
735365,36,2,5195,-7985,1,0,0
735366,33,0,2594,-8069,1,0,0
735367,65535,255,1253,9753,0,0,0
735368,33,0,4413,9763,1,0,1
735369,74,2,6235,9745,1,0,0
735370,0,0,0,0,0,0,0
735371,65535,255,3626,-8028,0,0,0
735372,65535,255,71,-7987,0,0,0
735373,65535,255,3537,9787,0,0,0
735374,65535,255,5736,9766,0,0,0
735375,65535,255,6263,-7962,0,0,0
735376,65535,255,4479,-7982,0,0,0
735377,0,0,0,0,0,0,0
735378,44,0,2484,9871,1,0,1
735379,70,0,5143,9808,1,0,1
735380,0,0,0,0,0,0,0
735381,0,0,0,0,0,0,0
735382,0,0,0,0,0,0,0
735383,65535,255,1275,9781,0,0,0
735384,65535,255,4426,9788,0,0,0
735385,0,0,0,0,0,0,0
735386,65535,255,5765,-7963,0,0,0
735387,0,0,0,0,0,0,0
735388,88,0,40,-5327,1,0,1
735389,65535,255,3559,9770,0,0,0
735390,65535,255,5749,9765,0,0,0
735391,8,0,6251,-7973,1,0,1
735392,65535,255,4459,-8008,0,0,0
735393,65535,255,1338,-8064,0,0,0
735394,65535,255,2519,9770,0,0,0
735395,65535,255,5163,9772,0,0,0
735396,65535,255,6661,-7929,0,0,1
735397,65535,255,5165,-8032,0,0,0
735398,18,0,2538,-8136,1,0,1
735399,65535,255,1315,9809,0,0,0
735400,24,0,4450,9800,1,0,1
735401,65535,255,6255,9779,0,0,0
735402,65535,255,5746,-7985,0,0,0
735403,13,0,3571,-8037,1,0,0
735404,65535,255,22,17598,0,0,0
735405,65535,255,3588,9846,0,0,0
735406,65535,255,5766,9808,0,0,0
735407,65535,255,6234,-7959,0,0,0
735408,83,2,4429,-7996,1,0,0
735409,6,0,1293,-8037,1,0,1
735410,65535,255,2559,9770,0,0,0
735411,65535,255,5184,9782,0,0,0
735412,15,0,6646,-7940,1,0,1
735413,65535,255,5137,-7976,0,0,0
735414,65535,255,2493,-8023,0,0,0
735415,65535,255,1360,10006,0,0,0
735416,65535,255,4477,9839,0,0,0
735417,14,0,6272,9760,1,0,0
735418,65535,255,5725,-7973,0,0,0
735419,65535,255,3529,-8020,0,0,0
735420,65535,255,66,11779,0,0,0
735421,65535,255,3622,9854,0,0,0
735422,14,0,5788,9752,1,0,0
735423,65535,255,6214,-7971,0,0,0
