sdate,line_t,line_tmq,line_tvza,line_tvaa,line_tm2,line_QFDNB,line_tm_buf
735235,9,0,4589,9779,1,0,1
735236,10,1,6337,9781,1,0,1
735237,7,1,5668,-8001,1,0,1
735238,27,2,3418,-8071,1,0,1
735239,6,0,234,8978,1,0,1
735240,11,0,3751,9794,1,0,1
735241,22,0,5863,9799,1,0,1
735242,20,0,6172,-8022,1,0,1
735243,7,0,4307,-8010,1,0,1
735244,65535,255,1090,-8128,0,0,0
735245,9,0,2742,9846,1,0,1
735246,12,0,5295,9830,1,0,1
735247,18,0,6595,-7993,1,0,1
735248,15,0,5046,-8058,1,0,1
735249,9,0,2315,-8016,1,0,1
735250,8,0,1567,9878,1,0,1
735251,18,0,4606,9834,1,0,0
735252,16,0,6346,9781,1,0,1
735253,12,0,5661,-8037,1,0,1
735254,13,0,3406,-8003,1,0,1
735255,8,0,237,10114,1,0,1
735256,11,0,3751,9850,1,0,1
735257,65535,255,5860,9804,0,0,0
735258,11,0,6173,-7984,1,0,1
735259,0,0,4319,-8034,1,0,0
735260,65535,255,1113,-8276,0,0,0
735261,65535,255,2718,9894,0,0,0
735262,65535,255,5280,9772,0,0,0
735263,65535,255,6608,-7999,0,0,0
735264,65535,255,5068,-8063,0,0,0
735265,10,0,2365,-8031,1,0,1
735266,14,1,1512,9707,1,0,1
735267,10,0,4572,9792,1,0,1
735268,12,1,6325,9796,1,0,1
735269,12,0,5681,-8018,1,0,1
735270,24,2,3448,-8114,1,0,1
735271,9,0,179,9821,1,0,1
735272,12,0,3711,9843,1,0,1
735273,0,0,0,0,0,0,0
735274,65535,255,6192,-7991,0,0,0
735275,65535,255,4352,-8054,0,0,1
735276,65535,255,1163,-7924,0,0,0
735277,13,0,2678,9764,1,0,1
735278,65535,255,5253,9801,0,0,0
735279,15,0,6621,-7971,1,0,1
735280,16,0,5091,-8025,1,0,1
735281,65535,255,2410,-8163,0,0,0
735282,65535,255,1462,9927,0,0,0
735283,55,0,4543,9838,1,0,1
735284,18,1,6309,9786,1,0,1
735285,65535,255,5699,-8008,0,0,0
735286,13,0,3483,-8104,1,0,1
735287,14,0,132,9797,1,0,0
735288,47,2,3679,9860,1,0,1
735289,65535,255,5819,9775,0,0,0
735290,65535,255,6205,-7998,0,0,0
735291,65535,255,4375,-8065,0,0,0
735292,65535,255,1203,-7930,0,0,0
735293,0,0,2639,9751,1,0,1
735294,14,0,5230,9792,1,0,1
735295,16,1,6632,-7960,1,0,1
735296,65535,255,5111,-8004,0,0,0
735297,65535,255,2444,-8084,0,0,0
735298,65535,255,1423,9787,0,0,0
735299,32,0,4515,9824,1,0,1
735300,65535,255,6293,9813,0,0,0
735301,65535,255,5718,-8038,0,0,0
735302,65535,255,3512,-8017,0,0,0
735303,65535,255,90,11609,0,0,0
735304,65535,255,3644,9885,0,0,0
735305,17,0,5801,9784,1,0,1
735306,28,0,6220,-8012,1,0,1
735307,65535,255,4406,-8096,0,0,0
735308,65535,255,1248,-8095,0,0,0
735309,65535,255,2599,9848,0,0,0
735310,18,0,5210,9838,1,0,1
735311,40,0,6646,-7999,1,0,1
735312,42,0,5132,-8040,1,0,1
735313,14,2,2478,-8071,1,0,1
735314,65535,255,1383,9811,0,0,0
735315,65535,255,4494,9837,0,0,0
735316,0,0,0,0,0,0,0
735317,65535,255,5732,-7999,0,0,0
735318,5,0,3542,-8085,1,0,1
735319,65535,255,58,9115,0,0,0
735320,65535,255,3623,9854,0,0,0
735321,65535,255,5788,9776,0,0,0
735322,0,0,0,0,0,0,0
735323,14,0,4422,-8001,1,0,1
735324,8,0,1276,-8174,1,0,1
735325,65535,255,2574,9910,0,0,1
735326,16,0,5198,9792,1,0,1
735327,65535,255,6653,-7972,0,0,0
735328,16,0,5147,-8039,1,0,1
735329,65535,255,2498,-8020,0,0,0
735330,65535,255,1360,9761,0,0,0
735331,65535,255,4480,9837,0,0,0
735332,65535,255,6276,9776,0,0,0
735333,65535,255,5743,-8011,0,0,0
735334,65535,255,3557,-8068,0,0,0
735335,7,0,47,14277,1,0,1
735336,120,0,3614,9803,1,0,1
735337,65535,255,5781,9823,0,0,0
735338,16,0,6240,-8003,1,0,1
735339,14,0,4432,-8001,1,0,1
735340,18,0,1293,-8250,1,0,1
735341,65535,255,2569,9775,0,0,0
735342,25,0,5191,9828,1,0,1
735343,65535,255,6657,-7953,0,0,0
735344,65535,255,5153,-8018,0,0,0
735345,65535,255,2508,-7994,0,0,0
735346,65535,255,1354,9761,0,0,0
735347,65535,255,4477,9850,0,0,0
735348,5,0,6273,9791,1,0,1
735349,34,1,5748,-8036,1,0,1
735350,65535,255,3563,-8059,0,0,0
735351,65535,255,28,9565,0,0,0
735352,51,2,3609,9873,1,0,1
735353,65535,255,5782,9815,0,0,0
735354,65535,255,6241,-7999,0,0,0
735355,15,0,4435,-8007,1,0,1
735356,0,0,0,0,0,0,0
735357,71,2,2568,9837,1,0,1
735358,15,0,5194,9783,1,0,1
735359,0,0,0,0,0,0,0
735360,65535,255,5150,-7992,0,0,0
735361,65535,255,2508,-8159,0,0,0
735362,65535,255,1360,9738,0,0,0
735363,65535,255,4480,9857,0,0,0
735364,65535,255,6275,9803,0,0,0
735365,65535,255,5743,-7998,0,0,0
735366,14,0,3550,-7999,1,0,1
735367,65535,255,55,6519,0,0,0
735368,65535,255,3618,9871,0,0,0
735369,9,0,5787,9811,1,0,1
735370,65535,255,6237,-8007,0,0,0
735371,28,0,4425,-8039,1,0,0
735372,65535,255,1276,-8095,0,0,0
735373,65535,255,2583,9768,0,0,0
735374,65535,255,5200,9839,0,0,0
735375,65535,255,6653,-7975,0,0,0
735376,65535,255,5142,-7998,0,0,0
735377,65535,255,2488,-8006,0,0,0
735378,65535,255,1377,9861,0,0,0
735379,8,0,4497,9807,1,0,1
735380,0,0,0,0,0,0,0
735381,0,0,0,0,0,0,0
735382,0,0,0,0,0,0,0
735383,0,0,0,0,0,0,0
735384,65535,255,3638,9803,0,0,0
735385,65535,255,5799,9775,0,0,0
735386,65535,255,6224,-7981,0,0,0
735387,65535,255,4405,-8001,0,0,0
735388,65535,255,1242,-7988,0,0,0
735389,65535,255,2608,9922,0,0,0
735390,65535,255,5218,9844,0,0,0
735391,65535,255,6642,-7986,0,0,0
735392,9,0,5122,-8018,1,0,1
735393,8,0,2458,-8083,1,0,1
735394,65535,255,1418,9671,0,0,0
735395,65535,255,4514,9863,0,0,0
735396,65535,255,6296,9768,0,0,0
735397,65535,255,5716,-8037,0,0,0
735398,65535,255,3508,-8120,0,0,0
735399,9,0,111,8896,1,0,1
735400,13,0,3668,9788,1,0,1
735401,10,0,5815,9785,1,0,1
735402,65535,255,6208,-7997,0,0,0
735403,10,0,4379,-8046,1,0,1
735404,65535,255,1203,-8206,0,0,0
735405,18,0,2643,9849,1,0,0
735406,65535,255,5238,9818,0,0,0
735407,52,2,6627,-7970,1,0,0
735408,65535,255,5097,-8009,0,0,0
735409,3,0,2414,-8058,1,0,1
735410,28,1,1462,9700,1,0,0
735411,28,1,4545,9781,1,0,1
735412,47,2,6312,9780,1,0,1
735413,24,0,5694,-7990,1,0,1
735414,65535,255,3466,-8034,0,0,0
735415,65535,255,164,10841,0,0,0
735416,9,0,3699,9861,1,0,1
735417,65535,255,5831,9820,0,0,0
735418,24,0,6190,-7986,1,0,1
735419,65535,255,4345,-8033,0,0,0
735420,65535,255,1152,-8182,0,0,0
735421,65535,255,2688,9860,0,0,0
735422,26,0,5264,9828,1,0,1
735423,65535,255,6611,-7984,0,0,0
735424,65535,255,5072,-8035,0,0,0
735425,65535,255,2365,-8152,0,0,0
735426,6,0,1512,9860,1,0,1
735427,65535,255,4576,9836,0,0,0
735428,65535,255,6330,9800,0,0,0
735429,65535,255,5669,-8040,0,0,0
735430,65535,255,3419,-8008,0,0,0
735431,65535,255,220,10287,0,0,0
735432,12,0,3744,9820,1,0,1
735433,20,1,5853,9805,1,0,1
735434,65535,255,6176,-8013,0,0,0
735435,65535,255,4323,-8080,0,0,0
735436,65535,255,1113,-7917,0,0,0
735437,65535,255,2707,9919,0,0,0
735438,65535,255,5275,9773,0,0,1
735439,65535,255,6607,-7994,0,0,0
