sdate,line_t,line_tmq,line_tvza,line_tvaa,line_tm2,line_QFDNB,line_tm_buf
735235,520,0,2397,9880,1,0,1
735236,65535,255,4458,9615,0,0,0
735237,313,0,5153,-6912,1,0,1
735238,196,0,3552,-7295,1,0,1
735239,65535,255,1206,-7584,0,0,0
735240,367,0,1551,10084,1,0,1
735241,381,0,3861,9756,1,0,1
735242,65535,255,5446,9382,0,0,0
735243,65535,255,4153,-7107,0,0,0
735244,65535,255,2063,-7549,0,0,0
735245,357,0,655,9902,1,0,1
735246,65535,255,3185,9814,0,0,0
735247,65535,255,4996,9496,0,0,0
735248,65535,255,4682,-7058,0,0,0
735249,65535,255,2834,-7432,0,0,0
735250,65535,255,274,-7195,0,0,0
735251,65535,255,2416,10008,0,0,0
735252,288,0,4472,9574,1,0,1
735253,65535,255,5147,-6954,0,0,0
735254,65535,255,3543,-7236,0,0,0
735255,65535,255,1203,-7595,0,0,0
735256,65535,255,1551,10032,0,0,0
735257,65535,255,3861,9694,0,0,0
735258,65535,255,5443,9412,0,0,0
735259,65535,255,4161,-7140,0,0,0
735260,65535,255,2073,-7375,0,0,0
735261,65535,255,631,10104,0,0,1
735262,65535,255,3167,9856,0,0,0
735263,65535,255,4978,9516,0,0,0
735264,65535,255,4698,-7067,0,0,0
735265,65535,255,2867,-7435,0,0,0
735266,65535,255,314,-8097,0,0,0
735267,65535,255,2382,9921,0,0,0
735268,65535,255,4444,9643,0,0,0
735269,65535,255,5164,-6934,0,0,0
735270,65535,255,3568,-7215,0,0,0
735271,280,2,1237,-7537,1,0,1
735272,65535,255,1518,10036,0,0,0
735273,335,0,3837,9698,1,0,1
735274,525,0,5425,9426,1,0,1
735275,245,0,4183,-7163,1,0,1
735276,65535,255,2104,-7449,0,0,0
735277,65535,255,597,10437,0,0,0
735278,65535,255,3141,9772,0,0,0
735279,391,0,4961,9471,3,0,0
735280,879,2,4715,-7032,3,0,0
735281,65535,255,2891,-7389,0,0,0
735282,347,0,343,-7678,3,0,0
735283,65535,255,2353,9871,0,0,0
735284,346,0,4425,9628,3,0,1
735285,65535,255,5179,-6930,0,0,0
735286,65535,255,3586,-7212,0,0,0
735287,65535,255,1265,-7586,0,0,0
735288,65535,255,1485,10084,0,0,0
735289,0,0,0,0,0,0,0
735290,65535,255,5411,9374,0,0,0
735291,65535,255,4198,-7179,0,0,0
735292,311,0,2126,-7462,1,0,1
735293,65535,255,568,10396,0,0,0
735294,195,0,3110,9905,1,0,1
735295,65535,255,4943,9541,0,0,0
735296,357,0,4728,-7011,1,0,1
735297,227,0,2915,-7331,1,0,1
735298,323,0,373,-7141,1,0,1
735299,0,0,0,0,0,0,0
735300,65535,255,4408,9580,0,0,0
735301,65535,255,5191,-6885,0,0,0
735302,65535,255,3608,-7266,0,0,0
735303,65535,255,1294,-7711,0,0,0
735304,65535,255,1457,10158,0,0,0
735305,65535,255,3789,9745,0,0,0
735306,65535,255,5396,9381,0,0,0
735307,65535,255,4216,-7107,0,0,0
735308,197,0,2157,-7547,1,0,1
735309,332,0,539,9918,1,0,1
735310,65535,255,3087,9849,0,0,0
735311,65535,255,4928,9517,0,0,0
735312,355,0,4742,-6996,1,0,1
735313,539,0,2934,-7328,1,0,1
735314,417,0,401,-7262,1,0,1
735315,394,0,2301,10029,3,0,1
735316,65535,255,4391,9609,0,0,0
735317,65535,255,5202,-6913,0,0,0
735318,65535,255,3625,-7197,0,0,0
735319,65535,255,1316,-7554,0,0,0
735320,65535,255,1434,10069,0,0,0
735321,65535,255,3777,9724,0,0,0
735322,65535,255,5388,9379,0,0,0
735323,65535,255,4227,-7112,0,0,0
735324,209,0,2168,-7351,1,0,1
735325,65535,255,515,10229,0,0,0
735326,65535,255,3073,9912,0,0,0
735327,302,0,4918,9499,1,0,1
735328,65535,255,4755,-7051,0,0,0
735329,65535,255,2948,-7283,0,0,0
735330,65535,255,420,-7336,0,0,0
735331,65535,255,2285,10018,0,0,0
735332,65535,255,4381,9612,0,0,0
735333,65535,255,5211,-6925,0,0,0
735334,299,0,3636,-7236,1,0,1
735335,313,0,1328,-7704,1,0,1
735336,65535,255,1429,9906,0,0,0
735337,408,0,3770,9686,1,0,1
735338,538,0,5382,9438,1,0,1
735339,434,0,4234,-7110,1,0,1
735340,65535,255,2179,-7380,0,0,0
735341,65535,255,510,10490,0,0,0
735342,337,0,3068,9811,1,0,1
735343,300,0,4916,9520,1,0,1
735344,65535,255,4757,-7021,0,0,0
735345,65535,255,2957,-7409,0,0,0
735346,65535,255,425,-8215,0,0,0
735347,65535,255,2284,10032,0,0,0
735348,401,0,4381,9631,1,0,1
735349,301,0,5210,-6874,1,0,1
735350,65535,255,3640,-7292,0,0,0
735351,65535,255,1327,-7554,0,0,0
735352,65535,255,1423,10165,0,0,0
735353,65535,255,3768,9782,0,0,0
735354,65535,255,5384,9429,0,0,0
735355,65535,255,4237,-7110,0,0,0
735356,270,0,2184,-7424,1,0,1
735357,391,0,511,9718,1,0,1
735358,313,0,3073,9873,1,0,1
735359,447,2,4919,9482,1,0,1
735360,65535,255,6153,9171,0,0,0
735361,458,0,2953,-7379,1,0,1
735362,279,0,419,-8150,1,0,1
735363,65535,255,2289,10047,0,0,0
735364,65535,255,4387,9650,0,0,0
735365,65535,255,5795,9289,0,0,0
735366,65535,255,6758,8980,0,0,0
735367,420,0,1322,-7404,1,0,1
735368,449,0,1434,10093,1,0,1
735369,362,0,3777,9781,1,0,1
735370,65535,255,5389,9437,0,0,0
735371,65535,255,6475,9091,0,0,0
735372,65535,255,-32768,-32768,0,65535,0
735373,65535,255,521,10296,0,0,0
735374,65535,255,3082,9831,0,0,0
735375,65535,255,4925,9546,0,0,0
735376,370,0,6159,9173,1,0,1
735377,65535,255,7017,8852,0,0,1
735378,65535,255,-32768,-32768,0,65535,0
735379,65535,255,2305,9932,0,0,0
735380,369,0,4398,9616,1,0,1
735381,355,0,5804,9274,1,0,1
735382,0,0,0,0,0,0,0
735383,65535,255,-32768,-32768,0,65535,0
735384,65535,255,1451,10160,0,0,0
735385,265,0,3793,9707,1,0,1
735386,65535,255,5397,9401,0,0,0
735387,65535,255,6482,9074,0,0,0
735388,65535,255,-32768,-32768,0,65535,0
735389,65535,255,-32768,-32768,0,65535,1
735390,65535,255,3100,9848,0,0,0
735391,65535,255,4939,9489,0,0,0
735392,65535,255,6167,9189,0,0,0
735393,0,0,0,0,0,0,0
735394,65535,255,-32768,-32768,0,65535,0
735395,65535,255,-32768,-32768,0,65535,1
735396,65535,255,4415,9594,0,0,0
735397,301,0,5815,9266,1,0,1
735398,65535,255,6771,8975,0,0,1
735399,65535,255,-32768,-32768,0,65535,1
735400,65535,255,-32768,-32768,0,0,0
735401,260,0,3809,9736,1,0,1
735402,320,0,5411,9431,1,0,1
735403,351,0,6491,9046,1,0,1
735404,0,0,0,0,0,0,0
735405,65535,255,-32768,-32768,0,65535,0
735406,65535,255,-32768,-32768,0,65535,1
735407,65535,255,4954,9509,0,0,0
735408,323,0,6179,9185,1,0,1
735409,0,0,0,0,0,0,0
735410,65535,255,-32768,-32768,0,65535,1
735411,65535,255,-32768,-32768,0,65535,1
735412,367,0,4431,9616,1,0,1
735413,348,0,5827,9288,1,0,1
735414,65535,255,6780,8948,0,0,1
735415,65535,255,-32768,-32768,0,65535,1
735416,65535,255,-32768,-32768,0,65535,1
735417,197,0,3833,9700,1,0,1
735418,65535,255,5428,9417,0,0,0
735419,267,0,6502,9038,1,0,1
735420,65535,255,-32768,-32768,0,65535,1
735421,65535,255,-32768,-32768,0,65535,1
735422,65535,255,3154,9821,0,0,0
735423,65535,255,4973,9491,0,0,0
735424,65535,255,6191,9146,0,0,0
