sdate,line_t,line_tmq,line_tvza,line_tvaa,line_tm2,line_QFDNB,line_tm_buf
735235,337,0,2521,9880,1,0,1
735236,65535,255,4540,9617,0,0,0
735237,279,0,5076,-6904,1,0,1
735238,396,0,3437,-7292,1,0,1
735239,65535,255,1063,-7795,0,0,0
735240,65535,255,1689,9884,0,0,0
735241,546,2,3954,9753,1,0,1
735242,65535,255,5485,-6779,0,0,0
735243,65535,255,4057,-7205,0,0,0
735244,65535,255,1924,-7534,0,0,0
735245,167,2,794,9933,1,0,1
735246,65535,255,3293,9818,0,0,0
735247,65535,255,5063,9496,0,0,0
735248,65535,255,4593,-7055,0,0,0
735249,65535,255,2712,-7425,0,0,0
735250,65535,255,126,-6312,0,0,0
735251,65535,255,2535,9991,0,0,0
735252,65535,255,4549,9578,0,0,0
735253,65535,255,5071,-6947,0,0,0
735254,65535,255,3428,-7224,0,0,0
735255,65535,255,1056,-7576,0,0,0
735256,65535,255,1688,10039,0,0,0
735257,304,0,3953,9694,1,0,1
735258,65535,255,5490,-6804,0,0,0
735259,451,0,4061,-7132,1,0,1
735260,65535,255,1939,-7517,0,0,0
735261,65535,255,776,10103,0,0,0
735262,65535,255,3270,9860,0,0,0
735263,235,0,5048,9516,1,0,1
735264,65535,255,4611,-7063,0,0,0
735265,65535,255,2741,-7442,0,0,0
735266,65535,255,170,-8251,0,0,0
735267,65535,255,2505,9920,0,0,0
735268,604,0,4526,9639,1,0,1
735269,435,0,5088,-6927,1,0,1
735270,327,0,3458,-7201,1,0,1
735271,323,0,1090,-7512,1,0,0
735272,65535,255,1649,10024,0,0,0
735273,551,0,3928,9699,1,0,1
735274,65535,255,5486,9353,0,0,0
735275,522,0,4084,-7156,1,0,1
735276,65535,255,1968,-7429,0,0,0
735277,65535,255,742,10373,0,0,0
735278,65535,255,3248,9768,0,0,0
735279,575,0,5030,9471,3,0,0
735280,347,0,4628,-7027,1,0,1
735281,65535,255,2769,-7380,0,0,0
735282,503,0,198,-7497,3,0,1
735283,65535,255,2476,9872,0,0,0
735284,242,0,4506,9631,3,0,0
735285,162,0,5102,-6922,1,0,1
735286,65535,255,3475,-7206,0,0,0
735287,65535,255,1124,-7541,0,0,0
735288,65535,255,1622,10067,0,0,0
735289,0,0,0,0,0,0,0
735290,65535,255,5471,9366,0,0,0
735291,227,0,4099,-7173,1,0,1
735292,65535,255,1994,-7441,0,0,0
735293,65535,255,713,10336,0,0,0
735294,427,0,3222,9753,1,0,1
735295,65535,255,5013,9459,0,0,0
735296,367,0,4644,-7000,1,0,1
