sdate,line_t,line_tmq,line_tvza,line_tvaa,line_tm2,line_QFDNB,line_tm_buf
735235,1523,1,5119,9451,3,0,0
735236,65535,255,4543,-7088,0,0,0
735237,1453,1,2632,-7489,3,0,0
735238,65535,255,40,-13112,0,0,0
735239,65535,255,2629,9939,0,0,0
735240,65535,255,4618,9558,0,0,0
735241,65535,255,5018,-6934,0,0,0
735242,65535,255,3347,-7328,0,0,0
735243,1114,2,934,-7552,3,0,0
735244,65535,255,1809,10040,0,0,0
735245,65535,255,4048,9699,0,0,0
735246,65535,255,5433,-6820,0,0,0
735247,65535,255,3974,-7166,0,0,0
735248,65535,255,1804,-7427,0,0,0
735249,65535,255,927,10307,0,0,0
735250,65535,255,3394,9811,0,0,0
735251,65535,255,5128,9486,0,0,0
735252,1018,0,4532,-7022,3,0,0
735253,65535,255,2622,-7358,0,0,0
735254,65535,255,33,-912,0,0,0
735255,1079,0,2634,9986,3,0,0
735256,1612,1,4618,9583,3,0,0
735257,1055,0,5021,-6948,3,0,0
735258,1231,1,3352,-7238,3,0,0
735259,1135,0,951,-7587,3,0,0
735260,1169,1,1792,10061,3,0,0
735261,1467,1,4033,9709,3,0,0
735262,65535,255,5444,-6817,0,0,0
735263,1705,1,3993,-7155,3,0,0
735264,0,0,0,0,0,0,0
735265,0,0,0,0,0,0,0
735266,771,0,3365,9742,3,0,0
735267,1007,0,5108,9454,1,0,0
735268,818,0,4553,-7092,3,0,0
735269,65535,255,2652,-7317,0,0,0
735270,922,0,71,-3493,1,0,0
735271,65535,255,2599,9980,0,0,0
735272,792,0,4598,9581,1,0,0
735273,464,2,5036,-6960,1,0,0
735274,65535,255,3378,-7260,0,0,0
735275,1295,0,987,-7719,1,0,0
735276,65535,255,1760,10141,0,0,0
735277,65535,255,4006,9751,0,0,0
735278,423,2,5458,-6849,3,0,0
735279,309,0,4016,-7216,3,0,0
735280,65535,255,1870,-7562,0,0,0
735281,771,0,858,10019,3,0,0
735282,65535,255,3333,9849,0,0,0
735283,65535,255,5091,9451,0,0,0
735284,65535,255,4570,-7081,0,0,0
735285,65535,255,2677,-7336,0,0,0
735286,1612,1,92,-4989,3,0,0
735287,65535,255,2575,9997,0,0,0
735288,65535,255,4578,9597,0,0,0
735289,65535,255,5052,-6976,0,0,0
735290,65535,255,3399,-7283,0,0,0
735291,65535,255,1010,-7778,0,0,0
735292,65535,255,1732,10166,0,0,0
735293,65535,255,3984,9747,0,0,0
735294,65535,255,5471,-6840,0,0,0
735295,65535,255,4031,-7190,0,0,0
735296,65535,255,1892,-7489,0,0,0
735297,1059,0,828,10000,3,0,0
735298,65535,255,3311,9787,0,0,0
735299,65535,255,5075,9482,0,0,0
735300,65535,255,4584,-7028,0,0,0
