sdate,line_t,line_tmq,line_tvza,line_tvaa,line_tm2,line_QFDNB,line_tm_buf
735235,65535,255,6162,-8473,0,0,0
735236,65535,255,4456,-8313,0,0,0
735237,65535,255,1612,-8142,0,0,0
735238,65535,255,1980,10000,0,0,0
735239,65535,255,4652,10265,0,0,0
735240,1155,0,6240,10459,1,0,1
735241,65535,255,5118,-8344,0,0,0
735242,65535,255,2693,-8221,0,0,0
735243,65535,255,829,10221,0,0,0
735244,65535,255,3915,10207,0,0,0
735245,65535,255,5803,10361,0,0,0
735246,65535,255,5677,-8451,0,0,0
735247,0,0,0,0,0,0,0
735248,0,0,0,0,0,0,0
735249,65535,255,3037,10156,0,0,0
735250,65535,255,5286,10289,0,0,0
735251,65535,255,6151,-8502,0,0,0
735252,65535,255,4440,-8260,0,0,0
735253,65535,255,1590,-7977,0,0,0
735254,65535,255,1991,10114,0,0,0
735255,1617,0,4659,10206,1,0,0
735256,464,0,6240,10421,1,0,0
735257,1494,0,5122,-8365,1,0,0
735258,1153,0,2703,-8237,1,0,1
735259,65535,255,812,9693,0,0,0
735260,65535,255,3897,10199,0,0,0
735261,65535,255,5789,10372,0,0,0
735262,65535,255,5691,-8439,0,0,0
735263,65535,255,3666,-8287,0,0,0
735264,65535,255,430,-7969,0,0,0
735265,65535,255,2995,10154,0,0,0
735266,65535,255,5259,10326,0,0,0
735267,65535,255,6169,-8473,0,0,0
735268,65535,255,4474,-8320,0,0,1
735269,65535,255,1645,-8184,0,0,0
735270,65535,255,1942,10047,0,0,0
735271,65535,255,4625,10217,0,0,0
735272,65535,255,6220,10418,0,0,0
735273,65535,255,5148,-8368,0,0,0
735274,65535,255,2742,-8096,0,0,0
735275,65535,255,760,9802,0,0,0
735276,65535,255,3868,10136,0,0,0
735277,65535,255,5768,10391,0,0,0
735278,0,0,0,0,0,0,0
735279,65535,255,3694,-8216,0,0,0
735280,65535,255,483,-8531,0,0,0
735281,65535,255,2962,10077,0,0,0
735282,65535,255,5237,10298,0,0,0
735283,65535,255,6184,-8482,0,0,0
735284,65535,255,4498,-8303,0,0,0
735285,65535,255,1684,-8146,0,0,1
735286,1353,1,1903,10028,1,0,1
735287,1526,0,4602,10194,1,0,1
735288,1465,1,6207,10420,1,0,1
735289,65535,255,5165,-8379,0,0,1
735290,1383,0,2775,-8122,1,0,1
735291,65535,255,719,9834,0,0,1
735292,65535,255,3840,10133,0,0,0
735293,65535,255,5753,10385,0,0,0
735294,65535,255,5727,-8402,0,0,0
735295,65535,255,3722,-8202,0,0,0
735296,65535,255,522,-8180,0,0,0
735297,1623,0,2928,10038,1,0,1
735298,65535,255,5220,10265,0,0,0
735299,0,0,0,0,0,0,0
735300,65535,255,4525,-8349,0,0,0
735301,65535,255,1723,-8043,0,0,0
735302,65535,255,1860,10132,0,0,1
735303,65535,255,4577,10223,0,0,0
735304,65535,255,6192,10433,0,0,0
735305,0,0,0,0,0,0,0
735306,65535,255,2813,-8158,0,0,0
735307,1543,2,678,10068,1,0,0
735308,739,2,3812,10186,1,0,0
735309,1227,2,5739,10353,1,0,1
735310,995,2,5745,-8444,1,0,1
735311,65535,255,3754,-8276,0,0,0
735312,65535,255,557,-8057,0,0,0
735313,65535,255,2898,10090,0,0,0
735314,0,0,0,0,0,0,0
735315,65535,255,6213,-8502,0,0,0
735316,1311,0,4545,-8282,1,0,1
735317,65535,255,1755,-8111,0,0,0
735318,65535,255,1832,10005,0,0,0
735319,0,0,0,0,0,0,0
735320,65535,255,6183,10424,0,0,0
735321,65535,255,5204,-8383,0,0,0
735322,65535,255,2836,-8160,0,0,0
735323,65535,255,649,10171,0,0,0
735324,65535,255,3791,10216,0,0,0
735325,65535,255,5729,10378,0,0,1
735326,65535,255,5756,-8406,0,0,0
735327,0,0,0,0,0,0,0
735328,65535,255,581,-7771,0,0,0
735329,65535,255,2877,10148,0,0,0
735330,65535,255,5193,10267,0,0,0
735331,65535,255,6222,-8499,0,0,0
735332,1239,2,4558,-8295,1,0,1
735333,65535,255,1777,-8168,0,0,0
735334,65535,255,1815,10094,0,0,0
735335,65535,255,4550,10233,0,0,0
735336,65535,255,6177,10428,0,0,0
735337,1207,2,5213,-8368,1,0,1
735338,65535,255,2849,-8150,0,0,0
735339,783,2,638,10227,1,0,0
735340,1121,2,3788,10114,1,0,0
735341,65535,255,5726,10333,0,0,0
735342,1406,0,5762,-8441,1,0,1
735343,65535,255,3782,-8301,0,0,0
735344,65535,255,599,-8446,0,0,0
735345,65535,255,2871,10137,0,0,0
735346,746,0,5189,10267,1,0,1
735347,65535,255,6227,-8511,0,0,0
735348,1247,1,4562,-8320,1,0,0
735349,1372,1,1777,-8002,1,0,1
735350,1449,1,1815,9969,1,0,1
735351,1592,0,4550,10202,1,0,1
735352,1158,0,6176,10446,1,0,1
735353,1139,0,5213,-8358,1,0,1
735354,1199,0,2855,-8150,1,0,1
735355,1139,1,632,10283,1,0,1
735356,929,0,3787,10146,1,0,1
735357,1015,0,5726,10355,1,0,1
735358,65535,255,5760,-8402,0,0,1
735359,1148,0,3782,-8254,1,0,1
735360,2001,0,592,-8173,1,0,1
735361,1890,0,2876,10105,1,0,1
735362,2515,0,5192,10263,1,0,1
735363,1354,0,6222,-8485,1,0,1
735364,1738,0,4559,-8345,1,0,0
735365,2181,0,1771,-8112,1,0,1
735366,1051,0,1821,10132,1,0,1
735367,65535,255,4553,10265,0,0,0
735368,1192,0,6179,10435,1,0,0
735369,1141,0,5207,-8357,1,0,1
735370,1209,0,2841,-8171,1,0,1
735371,65535,255,650,9717,0,0,0
735372,65535,255,3791,10193,0,0,0
735373,65535,255,5729,10392,0,0,0
735374,1098,0,5755,-8453,1,0,1
735375,65535,255,3766,-8237,0,0,0
735376,65535,255,575,-8231,0,0,0
735377,65535,255,2890,10139,0,0,0
735378,0,0,0,0,0,0,0
735379,65535,255,6214,-8486,0,0,0
735380,1292,0,4545,-8312,1,0,0
735381,1541,0,1750,-8055,1,0,1
735382,65535,255,1843,10097,0,0,0
735383,65535,255,4567,10272,0,0,0
735384,65535,255,6187,10445,0,0,0
735385,65535,255,5194,-8381,0,0,0
735386,1241,0,2822,-8258,1,0,1
735387,1399,0,672,10217,1,0,1
735388,65535,255,3811,10163,0,0,0
735389,65535,255,5739,10384,0,0,0
735390,1073,0,5742,-8456,1,0,1
735391,990,0,3742,-8259,1,0,1
735392,1535,0,542,-8485,1,0,1
735393,1535,0,2919,10033,1,0,1
735394,437,2,5213,10327,1,0,0
735395,1311,0,6200,-8465,1,0,1
735396,1080,0,4522,-8285,1,0,1
735397,65535,255,1717,-7994,0,0,0
735398,65535,255,1870,10079,0,0,0
735399,1291,2,4585,10274,1,0,1
735400,197,2,6199,10451,1,0,0
735401,65535,255,5177,-8400,0,0,0
735402,1655,0,2784,-8133,1,0,0
735403,1050,0,719,9746,1,0,0
735404,1090,0,3836,10220,1,0,0
735405,1732,0,5756,10356,1,0,0
735406,65535,255,5723,-8432,0,0,0
735407,0,0,0,0,0,0,0
735408,616,0,500,-8319,1,0,0
735409,65535,255,2947,10185,0,0,0
735410,1090,0,5233,10329,1,0,1
735411,65535,255,6184,-8471,0,0,0
735412,1381,0,4495,-8302,1,0,1
735413,65535,255,1672,-8087,0,0,0
735414,1199,0,1918,10002,1,0,0
735415,65535,255,4612,10227,0,0,0
735416,65535,255,6216,10427,0,0,0
735417,65535,255,5151,-8372,0,0,0
735418,65535,255,2744,-8191,0,0,0
735419,1787,0,766,9676,1,0,1
735420,1907,0,3868,10215,1,0,1
735421,1581,0,5775,10359,1,0,0
735422,1935,0,5701,-8439,1,0,0
735423,1253,0,3678,-8255,1,0,1
735424,65535,255,443,-7523,0,0,0
735425,1369,2,2990,10082,1,0,1
735426,1104,0,5259,10292,1,0,1
735427,1777,0,6167,-8503,1,0,0
735428,1255,0,4464,-8268,1,0,1
735429,1554,2,1623,-8002,1,0,0
735430,65535,255,1965,10134,0,0,0
735431,65535,255,4646,10219,0,0,0
735432,65535,255,6232,10460,0,0,0
735433,1130,0,5128,-8334,1,0,1
735434,1576,0,2713,-8161,1,0,0
735435,65535,255,800,9939,0,0,0
735436,65535,255,3892,10139,0,0,0
735437,65535,255,5785,10381,0,0,0
735438,65535,255,5695,-8435,0,0,0
735439,65535,255,3670,-8270,0,0,0
735440,65535,255,442,-7674,0,0,0
735441,65535,255,2989,10092,0,0,0
735442,65535,255,5256,10291,0,0,1
735443,1241,0,6173,-8500,1,0,1
735444,65535,255,4477,-8307,0,0,1
735445,1182,0,1651,-8263,1,0,1
735446,2145,0,1936,10066,1,0,1
735447,1645,0,4623,10231,1,0,1
735448,1487,0,6220,10431,1,0,1
735449,1203,0,5150,-8346,1,0,1
735450,1724,0,2747,-8209,1,0,1
735451,2028,0,759,10154,1,0,1
735452,1481,0,3868,10192,1,0,1
735453,1305,0,5772,10350,1,0,1
735454,1262,0,5712,-8426,1,0,1
735455,65535,255,3697,-8231,0,0,0
735456,1953,0,484,-8532,1,0,1
735457,65535,255,2961,10069,0,0,0
735458,65535,255,5241,10285,0,0,1
735459,1274,0,6187,-8497,1,0,1
735460,1577,0,4497,-8264,1,0,1
735461,65535,255,1678,-8008,0,0,0
735462,1251,0,1904,10150,1,0,0
735463,846,0,4608,10227,1,0,1
735464,65535,255,6210,10433,0,0,0
735465,65535,255,5167,-8389,0,0,0
735466,65535,255,2775,-8143,0,0,0
735467,2058,0,730,9978,1,0,1
735468,1901,0,3847,10167,1,0,1
735469,65535,255,5762,10340,0,0,1
735470,2616,0,5724,-8423,1,0,1
735471,969,0,3718,-8241,1,0,1
735472,1086,0,506,-7660,1,0,1
735473,603,0,2942,10121,1,0,0
735474,65535,255,5229,10314,0,0,0
735475,1262,0,6195,-8472,1,0,1
735476,1466,0,4514,-8322,1,0,1
735477,1761,0,1706,-8223,1,0,1
735478,65535,255,1887,10098,0,0,0
735479,1616,0,4594,10213,1,0,1
735480,1671,0,6204,10436,1,0,1
735481,0,0,0,0,0,0,0
735482,65535,255,2793,-8189,0,0,0
735483,65535,255,707,10211,0,0,0
735484,1726,2,3831,10212,1,0,1
735485,1824,2,5752,10373,1,0,1
735486,1526,0,5731,-8398,1,0,1
735487,1307,0,3730,-8202,1,0,1
735488,1676,2,523,-8433,1,0,1
735489,1777,0,2928,10088,1,0,1
735490,65535,255,5221,10308,0,0,1
735491,1431,0,6200,-8472,1,0,1
735492,1626,0,4521,-8334,1,0,0
735493,1869,0,1717,-7974,1,0,1
735494,65535,255,1873,10025,0,0,0
735495,65535,255,4584,10250,0,0,0
735496,65535,255,6197,10432,0,0,0
735497,504,0,5181,-8364,1,0,0
735498,65535,255,2798,-8123,0,0,1
735499,65535,255,695,10020,0,0,0
735500,65535,255,3823,10196,0,0,0
735501,65535,255,5748,10369,0,0,0
735502,65535,255,5732,-8402,0,0,0
735503,954,0,3734,-8226,1,0,1
735504,1828,0,529,-7740,1,0,1
735505,1653,2,2919,10152,1,0,1
735506,65535,255,5219,10272,0,0,0
735507,65535,255,6201,-8506,0,0,0
735508,0,0,0,0,0,0,0
735509,65535,255,1722,-8223,0,0,0
735510,0,0,0,0,0,0,0
735511,65535,255,4584,10256,0,0,0
735512,65535,255,6196,10413,0,0,0
735513,1461,0,5180,-8384,1,0,1
735514,65535,255,2799,-8189,0,0,0
735515,65535,255,703,9598,0,0,0
735516,1032,2,3828,10143,1,0,0
735517,2095,0,5750,10348,1,0,1
735518,1259,0,5732,-8454,1,0,1
735519,65535,255,3730,-8210,0,0,0
735520,65535,255,523,-7738,0,0,0
735521,65535,255,2924,10185,0,0,0
735522,1344,0,5219,10293,1,0,1
735523,0,0,0,0,0,0,0
735524,65535,255,4515,-8265,0,0,0
735525,791,0,1705,-8126,1,0,1
735526,65535,255,1882,10099,0,0,0
735527,65535,255,4588,10251,0,0,0
735528,627,0,6201,10418,1,0,0
735529,0,0,0,0,0,0,0
735530,65535,255,2785,-8255,0,0,0
735531,65535,255,718,10024,0,0,0
735532,65535,255,3838,10165,0,0,0
735533,65535,255,5756,10341,0,0,0
735534,1468,0,5720,-8407,1,0,0
735535,573,0,3714,-8240,1,0,0
735536,2203,2,499,-8116,1,0,1
735537,65535,255,2947,10101,0,0,0
735538,413,2,5231,10269,1,0,0
735539,65535,255,6186,-8466,0,0,0
735540,65535,255,4498,-8263,0,0,0
735541,1908,2,1684,-8183,1,0,1
735542,1742,0,1910,9928,1,0,1
735543,65535,255,4608,10204,0,0,0
735544,65535,255,6211,10458,0,0,0
735545,65535,255,5157,-8392,0,0,0
735546,65535,255,2754,-8191,0,0,0
735547,1195,2,748,10200,1,0,0
735548,65535,255,3864,10162,0,0,0
735549,65535,255,5771,10381,0,0,0
735550,1568,0,5706,-8447,1,0,0
735551,65535,255,3686,-8237,0,0,0
735552,1353,0,459,-8334,1,0,1
735553,65535,255,2980,10167,0,0,1
735554,1327,0,5251,10313,1,0,1
735555,65535,255,6171,-8455,0,0,0
735556,65535,255,4471,-8266,0,0,1
735557,626,0,1638,-8166,1,0,0
735558,1941,0,1950,10046,1,0,1
735559,1617,0,4630,10229,1,0,1
735560,1004,0,6224,10453,1,0,0
735561,65535,255,5142,-8375,0,0,0
735562,65535,255,2737,-8218,0,0,0
735563,0,0,0,0,0,0,0
735564,65535,255,3876,10124,0,0,0
735565,65535,255,5774,10356,0,0,0
735566,888,0,5708,-8411,1,0,0
735567,65535,255,3694,-8294,0,0,0
735568,0,0,0,0,0,0,0
735569,65535,255,2971,10061,0,0,0
735570,65535,255,5241,10337,0,0,0
735571,65535,255,6183,-8460,0,0,0
735572,1235,0,4494,-8275,1,0,1
735573,1996,0,1678,-8240,1,0,1
735574,0,0,0,0,0,0,0
735575,65535,255,4608,10248,0,0,0
735576,65535,255,6212,10435,0,0,0
735577,1241,0,5166,-8367,1,0,1
735578,65535,255,2775,-8243,0,0,0
735579,0,0,0,0,0,0,0
735580,65535,255,3848,10176,0,0,0
735581,65535,255,5760,10397,0,0,0
735582,1002,0,5724,-8400,1,0,1
735583,65535,255,3721,-8295,0,0,0
735584,2336,0,506,-7914,1,0,1
735585,781,0,2942,10123,1,0,0
735586,65535,255,5227,10305,0,0,1
735587,65535,255,6195,-8508,0,0,0
735588,65535,255,4511,-8276,0,0,0
735589,65535,255,1700,-8009,0,0,0
735590,65535,255,1887,10135,0,0,0
735591,65535,255,4597,10215,0,0,0
735592,65535,255,6204,10427,0,0,0
735593,65535,255,5176,-8372,0,0,0
735594,1517,0,2784,-8097,1,0,1
735595,1853,0,713,9746,1,0,1
735596,65535,255,3840,10121,0,0,0
735597,65535,255,5755,10380,0,0,0
735598,65535,255,5729,-8396,0,0,0
735599,65535,255,3727,-8240,0,0,0
735600,65535,255,517,-8180,0,0,0
735601,0,0,0,0,0,0,0
735602,1483,0,5224,10269,1,0,1
735603,2033,0,6198,-8489,1,0,1
735604,65535,255,4518,-8289,0,0,0
735605,1488,2,1705,-8009,1,0,0
735606,65535,255,1882,10099,0,0,0
735607,1579,0,4591,10240,1,0,1
735608,2525,0,6202,10449,1,0,1
735609,1423,0,5176,-8341,1,0,1
735610,65535,255,2794,-8232,0,0,1
735611,1817,0,714,9653,1,0,1
735612,65535,255,3836,10129,0,0,0
735613,65535,255,5753,10393,0,0,0
735614,1254,0,5729,-8421,1,0,1
735615,65535,255,3726,-8247,0,0,0
735616,65535,255,511,-7858,0,0,0
735617,65535,255,2933,10155,0,0,0
735618,2010,0,5225,10291,1,0,1
735619,65535,255,6196,-8500,0,0,1
735620,1378,0,4511,-8282,1,0,1
735621,1793,0,1700,-8085,1,0,1
735622,65535,255,1893,9927,0,0,1
735623,1639,0,4594,10234,1,0,1
735624,1491,0,6203,10435,1,0,1
735625,1556,0,5173,-8382,1,0,1
735626,1395,2,2784,-8119,1,0,0
735627,1658,0,713,9794,1,0,1
735628,1598,0,3836,10129,1,0,1
735629,1819,0,5753,10380,1,0,1
735630,1188,0,5727,-8391,1,0,1
735631,1467,0,3726,-8295,1,0,1
735632,2456,2,517,-8052,1,0,1
735633,1557,0,2933,10166,1,0,1
735634,1885,0,5222,10331,1,0,0
735635,1223,0,6196,-8500,1,0,1
735636,1405,0,4512,-8269,1,0,1
735637,1439,0,1700,-8028,1,0,1
735638,1723,0,1886,9969,1,0,1
735639,1098,0,4591,10246,1,0,1
735640,65535,255,6201,10450,0,0,1
735641,1290,0,5171,-8340,1,0,1
735642,1570,0,2788,-8222,1,0,1
735643,1365,0,720,9656,1,0,0
735644,65535,255,3840,10122,0,0,0
735645,926,0,5753,10389,1,0,1
735646,65535,255,5723,-8416,0,0,0
735647,65535,255,3718,-8230,0,0,0
735648,65535,255,506,-7723,0,0,0
735649,623,0,2938,10145,1,0,1
735650,65535,255,5225,10336,0,0,1
735651,1640,0,6190,-8491,1,0,0
735652,1500,0,4505,-8275,1,0,0
735653,65535,255,1689,-8104,0,0,0
735654,1846,0,1898,10032,1,0,1
735655,1479,0,4602,10211,1,0,0
735656,1747,0,6207,10440,1,0,1
735657,1439,0,5162,-8339,1,0,1
735658,65535,255,2769,-8227,0,0,0
735659,65535,255,736,9936,0,0,0
