sdate,line_t,line_tmq,line_tvza,line_tvaa,line_tm2,line_QFDNB,line_tm_buf
735235,1004,0,3096,9834,1,0,1
735236,65535,255,4946,9497,0,0,0
735237,1013,0,4776,-7070,1,0,1
735238,65535,255,2962,-7423,0,0,0
735239,678,0,406,-7681,1,0,1
735240,863,0,2317,9854,1,0,0
735241,65535,255,4414,9611,0,0,0
735242,65535,255,5224,-6926,0,0,0
735243,65535,255,3641,-7252,0,0,0
735244,65535,255,1316,-7438,0,0,0
735245,686,0,1463,9899,1,0,1
735246,65535,255,3808,9772,0,0,0
735247,65535,255,5419,9397,0,0,0
735248,65535,255,4237,-7146,0,0,0
735249,65535,255,2162,-7379,0,0,0
735250,827,0,551,10210,1,0,1
735251,862,0,3118,9772,1,0,1
735252,973,0,4955,9541,1,0,1
735253,65535,255,4766,-7026,0,0,0
735254,65535,255,2953,-7339,0,0,0
735255,65535,255,402,-7104,0,0,1
735256,65535,255,2316,9967,0,0,0
735257,65535,255,4411,9656,0,0,0
735258,65535,255,5227,-6879,0,0,0
735259,796,0,3648,-7233,1,0,1
735260,65535,255,1327,-7563,0,0,0
735261,1011,0,1440,10016,1,0,1
735262,65535,255,3793,9680,0,0,0
735263,65535,255,5406,9410,0,0,0
735264,65535,255,4259,-7155,0,0,0
735265,880,0,2194,-7405,1,0,1
735266,959,0,509,10160,1,0,1
735267,65535,255,3082,9866,0,0,0
735268,920,0,4933,9522,1,0,1
735269,838,0,4786,-7003,1,0,0
735270,65535,255,2981,-7313,0,0,0
735271,684,0,443,-8205,1,0,1
735272,65535,255,2284,9957,0,0,0
735273,992,0,4387,9667,1,0,1
735274,936,0,5242,-6890,1,0,1
735275,852,0,3672,-7261,1,0,1
735276,65535,255,1361,-7682,0,0,0
735277,65535,255,1405,10138,0,0,0
735278,1232,0,3765,9732,1,0,0
735279,1150,0,5390,9375,1,0,1
735280,1088,0,4277,-7111,1,0,1
735281,1162,0,2226,-7547,1,0,1
735282,1087,0,476,9814,1,0,1
735283,65535,255,3054,9830,0,0,0
735284,1049,0,4913,9510,1,0,1
735285,981,0,4800,-7000,1,0,1
735286,65535,255,3005,-7320,0,0,0
735287,65535,255,472,-7117,0,0,0
735288,1018,0,2253,9990,1,0,1
735289,65535,255,4371,9581,0,0,0
735290,65535,255,5256,-6901,0,0,0
735291,65535,255,3692,-7272,0,0,0
735292,920,0,1389,-7678,1,0,1
735293,65535,255,1378,10117,0,0,0
735294,65535,255,3745,9719,0,0,0
735295,767,0,5374,9437,1,0,1
735296,941,0,4292,-7087,1,0,1
735297,831,0,2252,-7470,1,0,1
735298,65535,255,447,10533,0,0,0
735299,0,0,0,0,0,0,0
735300,65535,255,4896,9552,0,0,0
735301,65535,255,4815,-7041,0,0,0
735302,762,2,3028,-7379,1,0,1
735303,940,0,499,-7478,1,0,1
735304,65535,255,2226,10037,0,0,0
735305,65535,255,4350,9603,0,0,0
735306,292,2,5267,-6922,1,0,1
735307,65535,255,3708,-7189,0,0,0
735308,1106,0,1418,-7482,1,0,1
735309,1196,0,1350,9950,1,0,1
735310,65535,255,3721,9795,0,0,0
735311,65535,255,5361,9416,0,0,0
735312,1023,0,4310,-7177,1,0,1
735313,65535,255,2274,-7467,0,0,0
735314,1264,0,418,10643,1,0,1
735315,1126,0,3008,9784,1,0,1
735316,65535,255,4884,9489,0,0,0
735317,65535,255,4827,-6987,0,0,0
735318,65535,255,3042,-7304,0,0,0
735319,65535,255,527,-7755,0,0,0
735320,65535,255,2205,9982,0,0,0
735321,65535,255,4337,9626,0,0,0
735322,65535,255,5278,-6918,0,0,0
735323,65535,255,3724,-7202,0,0,0
735324,784,0,1435,-7528,1,0,1
735325,1033,0,1332,10050,1,0,0
735326,65535,255,3709,9717,0,0,0
735327,1004,0,5349,9442,1,0,1
735328,65535,255,4321,-7135,0,0,0
735329,65535,255,2289,-7394,0,0,0
735330,65535,255,400,10414,0,0,0
735331,65535,255,2996,9830,0,0,0
735332,65535,255,4878,9491,0,0,0
735333,65535,255,4836,-6996,0,0,0
735334,991,0,3056,-7343,1,0,1
735335,897,2,534,-7548,1,0,1
735336,65535,255,2201,9880,0,0,0
735337,1042,0,4331,9654,1,0,1
735338,1050,0,5283,-6903,1,0,1
735339,1004,0,3732,-7193,1,0,1
735340,65535,255,1446,-7573,0,0,0
735341,65535,255,1321,10153,0,0,0
735342,950,0,3705,9775,1,0,1
735343,865,0,5349,9415,1,0,1
735344,65535,255,4324,-7100,0,0,0
735345,65535,255,2294,-7366,0,0,0
735346,65535,255,393,10337,0,0,0
735347,65535,255,2993,9787,0,0,0
735348,65535,255,4874,9509,0,0,0
735349,1060,0,4839,-7029,1,0,1
735350,65535,255,3061,-7415,0,0,0
735351,65535,255,541,-8103,0,0,0
735352,765,0,2194,10029,1,0,0
735353,65535,255,4330,9635,0,0,0
735354,65535,255,5285,-6897,0,0,0
735355,65535,255,3736,-7201,0,0,0
735356,876,0,1446,-7620,1,0,1
735357,1081,0,1322,10183,1,0,1
735358,65535,255,3708,9695,0,0,0
735359,1068,0,5351,9412,1,0,1
735360,65535,255,4324,-7167,0,0,0
735361,1127,0,2294,-7535,1,0,1
735362,809,0,399,10253,1,0,1
735363,65535,255,3002,9797,0,0,0
735364,65535,255,4879,9530,0,0,0
735365,773,0,6133,9209,1,0,1
735366,1030,0,3056,-7343,1,0,1
735367,1118,0,534,-7798,1,0,1
735368,1019,0,2205,9999,1,0,1
735369,65535,255,4338,9634,0,0,0
735370,65535,255,5771,9279,0,0,0
735371,65535,255,6745,8974,0,0,0
735372,1052,2,1435,-7413,1,0,1
735373,65535,255,1338,10076,0,0,0
735374,1024,0,3716,9790,1,0,1
735375,65535,255,5356,9448,0,0,0
735376,834,0,6460,9100,1,0,1
735377,65535,255,-32768,-32768,0,65535,1
735378,65535,255,418,10655,0,0,0
735379,65535,255,3011,9880,0,0,0
735380,816,0,4889,9496,1,0,1
735381,1076,0,6140,9196,1,0,1
735382,0,0,0,0,0,0,0
735383,65535,255,-32768,-32768,0,65535,0
735384,65535,255,2221,10040,0,0,0
735385,1193,0,4349,9671,1,0,1
735386,65535,255,5777,9311,0,0,0
735387,65535,255,6752,8958,0,0,1
735388,65535,255,-32768,-32768,0,65535,1
735389,65535,255,-32768,-32768,0,65535,0
735390,1195,0,3732,9795,1,0,1
735391,938,0,5370,9387,1,0,1
735392,706,0,6468,9064,1,0,0
735393,0,0,0,0,0,0,0
735394,65535,255,-32768,-32768,0,65535,1
735395,65535,255,3035,9825,0,0,0
