sdate,line_t,line_tmq,line_tvza,line_tvaa,line_tm2,line_QFDNB,line_tm_buf
735235,0,0,0,0,0,0,0
735236,65535,255,5576,9403,0,0,0
735237,65535,255,4373,-7245,0,0,0
735238,65535,255,2236,-7482,0,0,0
735239,65535,255,603,10102,0,0,0
735240,65535,255,3261,9831,0,0,0
735241,915,2,5119,9499,1,0,0
735242,988,0,4897,-7091,1,0,0
735243,65535,255,3037,-7387,0,0,0
735244,711,0,373,-8276,1,0,1
735245,772,0,2465,9906,1,0,1
735246,163,2,4594,9630,1,0,1
735247,65535,255,5355,-6994,0,0,0
735248,65535,255,3740,-7327,0,0,0
735249,65535,255,1321,-7710,0,0,0
735250,0,0,0,0,0,0,0
735251,65535,255,3980,9712,0,0,0
735252,65535,255,5586,9360,0,0,0
735253,65535,255,4363,-7278,0,0,0
735254,65535,255,2231,-7540,0,0,0
735255,944,0,608,10376,1,0,1
735256,65535,255,3261,9859,0,0,0
735257,850,0,5116,9521,1,0,1
735258,65535,255,4904,-7106,0,0,1
735259,65535,255,3047,-7406,0,0,1
735260,65535,255,386,-7299,0,0,0
735261,65535,255,2446,9922,0,0,0
735262,1189,0,4576,9633,1,0,0
735263,65535,255,5369,-7008,0,0,0
735264,65535,255,3763,-7315,0,0,0
735265,0,0,0,0,0,0,0
735266,65535,255,1540,9991,0,0,1
735267,65535,255,3953,9672,0,0,1
735268,65535,255,5566,9406,0,0,0
735269,65535,255,4387,-7254,0,0,0
735270,65535,255,2262,-7507,0,0,0
735271,65535,255,567,10282,0,0,0
735272,723,0,3229,9865,1,0,1
735273,0,0,0,0,0,0,0
735274,65535,255,4921,-7118,0,0,0
735275,4120,0,3074,-7442,3,0,0
735276,0,0,0,0,0,0,0
735277,1465,2,2411,9992,3,0,0
735278,1602,0,4557,9581,1,0,0
735279,65535,255,5382,-7012,0,0,0
735280,1505,0,3787,-7371,1,0,0
735281,65535,255,1389,-7531,0,0,0
735282,65535,255,1507,9907,0,0,0
735283,65535,255,3927,9662,0,0,0
735284,1720,0,5551,9401,1,0,0
735285,65535,255,4404,-7250,0,0,0
735286,65535,255,2289,-7518,0,0,0
735287,1011,0,533,10418,1,0,1
735288,65535,255,3208,9744,0,0,0
735289,65535,255,5080,9461,0,0,0
735290,65535,255,4937,-7131,0,0,0
735291,65535,255,3097,-7459,0,0,1
735292,65535,255,453,-7520,0,0,0
735293,283,2,2382,9983,1,0,0
735294,212,2,4537,9566,1,0,0
735295,65535,255,5396,-6994,0,0,0
735296,120,2,3808,-7354,1,0,1
735297,65535,255,1424,-7765,0,0,0
735298,65535,255,1474,10110,0,0,0
735299,642,2,3905,9709,1,0,1
735300,65535,255,5536,9363,0,0,0
735301,0,0,0,0,0,0,0
735302,65535,255,2321,-7597,0,0,0
735303,858,0,505,9654,1,0,1
735304,65535,255,3181,9776,0,0,0
735305,65535,255,5064,9475,0,0,0
735306,423,2,4949,-7070,1,0,1
735307,65535,255,3121,-7401,0,0,0
735308,65535,255,488,-8008,0,0,0
735309,65535,255,2358,9879,0,0,0
735310,628,0,4516,9625,1,0,1
735311,652,0,5407,-6976,1,0,1
735312,65535,255,3828,-7342,0,0,0
735313,1441,0,1452,-7759,1,0,0
735314,65535,255,1446,10138,0,0,1
735315,65535,255,3885,9735,0,0,0
735316,1199,0,5524,9385,1,0,1
735317,65535,255,4438,-7230,0,0,1
735318,65535,255,2336,-7499,0,0,0
735319,65535,255,481,10386,0,0,0
735320,724,0,3160,9801,1,0,1
735321,65535,255,5052,9466,0,0,0
735322,65535,255,4961,-7070,0,0,1
735323,65535,255,3137,-7364,0,0,0
735324,65535,255,512,-8188,0,0,1
735325,65535,255,2337,9950,0,0,0
735326,810,0,4506,9572,1,0,1
735327,65535,255,5417,-7016,0,0,0
735328,419,0,3840,-7294,1,0,1
735329,65535,255,1463,-7666,0,0,0
735330,603,0,1429,10095,1,0,1
735331,664,0,3873,9730,1,0,1
735332,649,0,5519,9386,1,0,1
735333,65535,255,4448,-7247,0,0,0
735334,65535,255,2351,-7565,0,0,0
