sdate,line_t,line_tmq,line_tvza,line_tvaa,line_tm2,line_QFDNB,line_tm_buf
735235,363,2,2097,10009,1,0,1
735236,65535,255,4258,9612,0,0,0
735237,65535,255,5321,-6897,0,0,0
735238,25,2,3796,-7178,1,0,1
735239,65535,255,1534,-7411,0,0,0
735240,65535,255,1225,10224,0,0,0
735241,65535,255,3628,9754,0,0,0
735242,65535,255,5295,9456,0,0,0
735243,65535,255,4370,-7113,0,0,0
735244,65535,255,2366,-7531,0,0,0
735245,65535,255,314,9538,0,0,0
735246,65535,255,2922,9807,0,0,0
735247,65535,255,4820,9557,0,0,0
735248,65535,255,4871,-6977,0,0,0
735249,65535,255,3110,-7272,0,0,0
735250,65535,255,615,-7447,0,0,0
735251,65535,255,2115,9996,0,0,0
735252,303,0,4269,9671,1,0,1
735253,65535,255,5315,-6878,0,0,0
735254,65535,255,3788,-7242,0,0,0
735255,65535,255,1534,-7581,0,0,0
735256,65535,255,1225,10008,0,0,0
735257,65535,255,3628,9814,0,0,0
735258,65535,255,5292,9413,0,0,0
735259,65535,255,4377,-7149,0,0,0
735260,65535,255,2380,-7382,0,0,0
735261,259,0,289,9947,1,0,1
735262,65535,255,2898,9853,0,0,0
735263,65535,255,4807,9509,0,0,0
735264,40,2,4889,-6989,1,0,1
735265,65535,255,3142,-7286,0,0,0
735266,65535,255,656,-7862,0,0,0
735267,65535,255,2084,9907,0,0,0
735268,65535,255,4244,9642,0,0,0
735269,65535,255,5331,-6863,0,0,0
735270,65535,255,3812,-7222,0,0,0
735271,65535,255,1567,-7555,0,0,0
735272,65535,255,1191,10009,0,0,0
735273,65535,255,3598,9819,0,0,0
735274,110,0,5274,9422,1,0,1
735275,67,0,4397,-7068,1,0,1
735276,65535,255,2410,-7444,0,0,0
735277,65535,255,255,10693,0,0,0
735278,65535,255,2870,9922,0,0,0
735279,65535,255,4784,9555,0,0,0
735280,65535,255,4904,-6952,0,0,0
735281,65535,255,3169,-7389,0,0,0
735282,128,0,690,-7655,3,0,0
735283,65535,255,2047,10100,0,0,0
735284,112,0,4222,9626,3,0,0
735285,346,0,5345,-6854,3,0,0
735286,65535,255,3832,-7217,0,0,0
735287,65535,255,1595,-7573,0,0,0
735288,65535,255,1157,10068,0,0,0
735289,0,0,0,0,0,0,0
735290,65535,255,5260,9435,0,0,0
735291,207,0,4411,-7077,1,0,1
735292,189,0,2435,-7453,1,0,1
735293,65535,255,226,10606,0,0,0
735294,198,0,2842,9904,1,0,1
735295,99,0,4765,9541,1,0,1
735296,176,0,4920,-7013,1,0,1
735297,374,0,3187,-7338,1,0,1
735298,143,0,720,-7377,1,0,1
735299,0,0,0,0,0,0,0
735300,65535,255,4200,9678,0,0,0
735301,65535,255,5356,-6889,0,0,0
735302,65535,255,3853,-7267,0,0,0
735303,290,0,1623,-7669,1,0,1
735304,203,0,1129,10188,1,0,1
735305,65535,255,3556,9741,0,0,0
735306,65535,255,5244,9455,0,0,0
735307,65535,255,4428,-7111,0,0,0
735308,65535,255,2455,-7334,0,0,0
735309,223,0,198,9498,1,0,1
735310,65535,255,2819,9842,0,0,0
735311,65535,255,4750,9515,0,0,0
735312,45,0,4932,-7004,1,0,1
735313,35,0,3209,-7333,1,0,1
735314,180,0,743,-7426,1,0,1
735315,111,0,1995,10029,3,0,1
735316,65535,255,4183,9708,0,0,0
735317,65535,255,5367,-6842,0,0,0
735318,65535,255,3869,-7202,0,0,0
735319,65535,255,1644,-7545,0,0,0
735320,65535,255,1107,10043,0,0,0
735321,65535,255,3539,9718,0,0,0
735322,65535,255,5232,9447,0,0,0
735323,65535,255,4442,-7114,0,0,0
735324,148,0,2474,-7370,1,0,1
735325,65535,255,173,10163,0,0,0
735326,65535,255,2804,9911,0,0,0
735327,148,0,4740,9558,1,0,1
735328,60,0,4941,-6969,1,0,1
735329,65535,255,3223,-7284,0,0,0
735330,159,0,761,-7300,1,0,1
735331,65535,255,1985,10013,0,0,0
735332,65535,255,4175,9710,0,0,0
735333,65535,255,5375,-6854,0,0,0
735334,65535,255,3877,-7239,0,0,0
735335,79,0,1661,-7680,1,0,1
735336,65535,255,1096,10318,0,0,0
