sdate,line_t,line_tmq,line_tvza,line_tvaa,line_tm2,line_QFDNB,line_tm_buf
735235,380,0,4423,9701,1,0,1
735236,482,0,6071,9450,1,0,1
735237,140,0,6349,-7288,1,0,1
735238,282,0,2671,-7741,1,0,1
735239,375,0,631,10056,1,0,1
735240,65535,255,3672,9733,0,0,0
735241,443,0,5616,9470,1,0,1
735242,65535,255,6688,-7203,0,0,1
735243,65535,255,3550,-7659,0,0,0
735244,65535,255,513,-7413,0,0,0
735245,65535,255,2789,9809,0,0,0
735246,195,0,5081,9578,1,0,1
735247,104,0,6479,9322,1,0,1
735248,520,0,5948,-7393,1,0,1
735249,49,0,1627,-7826,1,0,1
735250,65535,255,1775,9810,0,0,0
735251,84,0,4439,9668,1,0,1
735252,209,0,6078,9429,1,0,1
735253,134,0,6343,-7280,1,0,1
735254,401,0,2666,-7848,1,0,1
735255,428,0,637,9693,1,0,0
735256,57,0,3671,9677,1,0,1
735257,105,0,5610,9503,1,0,1
735258,65535,255,6690,-7224,0,0,0
735259,282,0,3568,-7717,1,0,1
735260,95,0,540,-7808,1,0,1
735261,309,0,2761,9867,1,0,1
735262,335,0,5061,9602,1,0,1
735263,65535,255,6465,9336,0,0,0
735264,168,0,5962,-7402,1,0,1
735265,76,0,1677,-7981,1,0,1
735266,45,2,1726,9982,1,0,1
735267,44,2,4410,9633,1,0,1
735268,62,0,6061,9412,1,0,1
735269,91,0,6359,-7310,1,0,1
735270,87,0,2706,-7820,1,0,1
735271,111,0,592,9619,1,0,1
735272,65535,255,3636,9678,0,0,0
735273,109,0,5590,9511,1,0,1
735274,65535,255,6700,-7182,0,0,1
735275,111,0,5518,-7464,1,0,1
735276,34,0,586,-8098,1,0,1
735277,65535,255,2727,9756,0,0,0
735278,65535,255,5037,9557,0,0,0
735279,65535,255,6449,9364,0,0,0
735280,65535,255,5976,-7375,0,0,0
735281,68,0,1710,-7899,1,0,1
735282,59,0,1687,9909,1,0,1
735283,54,0,4383,9617,1,0,1
735284,108,0,6045,9407,1,0,1
735285,130,0,6370,-7304,1,0,1
735286,65535,255,2735,-7828,0,0,0
735287,139,0,551,9714,1,0,1
735288,51,0,3606,9705,1,0,1
735289,56,0,5573,9523,1,0,1
735290,65535,255,6710,-7189,0,0,1
735291,65535,255,5531,-7471,0,0,0
735292,146,0,621,-8086,1,0,1
735293,53,0,2698,9733,1,0,1
735294,352,2,5018,9580,1,0,0
735295,374,2,6436,9352,1,0,1
735296,358,2,5988,-7360,1,0,1
735297,78,0,1743,-7783,1,0,1
735298,69,0,1650,9773,1,0,1
735299,82,0,4359,9664,1,0,1
735300,228,0,6028,9434,1,0,1
735301,167,0,6380,-7272,1,0,1
735302,76,0,2764,-7712,1,0,1
735303,64,0,509,9956,1,0,1
735304,65535,255,3576,9734,0,0,0
735305,65535,255,5555,9539,0,0,0
735306,65535,255,6720,-7202,0,0,0
735307,155,0,5546,-7422,1,0,1
735308,103,0,656,-7673,1,0,1
735309,103,0,2663,9843,1,0,1
735310,110,0,4999,9600,1,0,1
735311,65535,255,6424,9344,0,0,0
735312,65535,255,6001,-7349,0,0,0
735313,42,0,1776,-7781,1,0,1
735314,65535,255,1622,9814,0,0,0
735315,62,0,4337,9694,1,0,1
735316,187,0,6016,9457,1,0,1
735317,695,2,6392,-7294,1,0,1
735318,502,2,2792,-7822,1,0,1
735319,66,0,487,9617,1,0,1
735320,287,0,3559,9710,1,0,1
735321,557,2,5542,9537,1,0,1
735322,65535,255,6728,-7199,0,0,1
735323,65535,255,5559,-7425,0,0,0
735324,225,0,679,-7875,1,0,1
735325,134,0,2649,9724,1,0,1
735326,271,0,4987,9558,1,0,1
735327,65535,255,6418,9374,0,0,0
735328,642,2,6012,-7387,1,0,1
735329,200,0,1793,-7745,1,0,1
735330,65535,255,1606,9794,0,0,0
735331,432,0,4326,9702,1,0,1
735332,267,0,6010,9427,1,0,1
735333,573,0,6399,-7303,1,0,1
735334,69,0,2801,-7710,1,0,1
735335,265,0,469,10241,1,0,1
735336,175,0,3546,9797,1,0,1
735337,433,0,5539,9524,1,0,1
735338,65535,255,6733,-7189,0,0,1
735339,99,0,5564,-7424,1,0,1
735340,433,0,696,-8114,1,0,1
735341,394,0,2638,9810,1,0,1
735342,109,0,4983,9603,1,0,1
735343,566,0,6415,9357,1,0,1
735344,112,0,6015,-7367,1,0,1
735345,73,2,1803,-7726,1,0,1
735346,94,0,1600,9815,1,0,1
735347,442,0,4326,9622,1,0,1
735348,65535,255,6011,9426,0,0,0
735349,253,0,6400,-7267,1,0,1
735350,228,0,2806,-7820,1,0,1
735351,168,0,468,9893,1,0,1
735352,158,0,3545,9772,1,0,1
735353,109,0,5539,9516,1,0,1
735354,65535,255,6734,-7185,0,0,1
735355,324,0,5566,-7428,1,0,1
735356,149,0,692,-7540,1,0,1
735357,294,0,2638,9883,1,0,1
735358,428,0,4985,9565,1,0,1
735359,575,0,6419,9339,1,0,1
735360,273,0,6013,-7347,1,0,1
735361,112,0,1798,-7725,1,0,1
735362,110,2,1605,9836,1,0,1
735363,286,0,4333,9642,1,0,0
735364,65535,255,6015,9446,0,0,0
735365,65535,255,6398,-7286,0,0,0
735366,67,0,2801,-7754,1,0,1
735367,120,0,481,9687,1,0,1
735368,374,0,3558,9771,1,0,1
735369,164,0,5544,9524,1,0,1
735370,65535,255,6732,-7192,0,0,1
735371,65535,255,5561,-7447,0,0,0
735372,143,0,679,-7973,1,0,1
735373,296,0,2653,9833,1,0,1
735374,89,0,4995,9553,1,0,1
735375,96,0,6424,9339,1,0,1
735376,102,0,6008,-7348,1,0,1
735377,138,0,1781,-7800,1,0,1
735378,162,0,1622,9998,1,0,0
735379,346,0,4343,9708,1,0,1
735380,135,0,6022,9433,1,0,1
735381,568,2,6391,-7276,1,0,1
735382,130,0,2782,-7767,1,0,1
735383,111,0,503,9896,1,0,1
735384,294,0,3576,9684,1,0,1
735385,321,0,5557,9490,1,0,1
735386,65535,255,6724,-7217,0,0,1
735387,263,0,5548,-7422,1,0,1
735388,333,0,650,-7927,1,0,1
735389,166,0,2677,9832,1,0,1
735390,144,0,5010,9568,1,0,1
735391,187,0,6434,9354,1,0,1
735392,179,0,5996,-7367,1,0,1
735393,99,0,1754,-7950,1,0,1
735394,56,0,1654,9874,1,0,1
735395,412,0,4362,9679,1,0,1
735396,434,0,6035,9426,1,0,1
735397,470,0,6379,-7268,1,0,1
735398,114,0,2749,-7781,1,0,1
735399,70,0,538,10081,1,0,1
735400,228,0,3601,9716,1,0,1
735401,290,0,5570,9515,1,0,1
735402,65535,255,6712,-7184,0,0,1
735403,427,0,5533,-7456,1,0,1
735404,46,2,610,-7549,1,0,1
735405,328,0,2707,9782,1,0,1
735406,164,0,5031,9549,1,0,1
735407,465,0,6445,9348,1,0,1
735408,118,0,5980,-7357,1,0,1
735409,376,0,1715,-7975,1,0,1
735410,53,2,1693,9911,1,0,1
735411,313,0,4386,9701,1,0,1
735412,302,0,6049,9444,1,0,1
735413,453,0,6364,-7286,1,0,1
735414,120,0,2713,-7746,1,0,1
735415,335,0,580,9729,1,0,1
735416,382,0,3631,9680,1,0,1
735417,203,0,5591,9498,1,0,1
735418,65535,255,6701,-7223,0,0,1
735419,351,0,5511,-7446,1,0,1
735420,134,0,564,-7578,1,0,1
735421,96,0,2747,9803,1,0,1
735422,128,0,5053,9567,1,0,1
735423,269,0,6460,9363,1,0,1
735424,362,0,5961,-7381,1,0,1
735425,392,0,1666,-7823,1,0,1
735426,375,0,1737,9794,1,0,1
735427,529,0,4417,9666,1,0,1
735428,317,0,6069,9428,1,0,1
735429,382,0,6347,-7271,1,0,1
735430,399,0,2672,-7859,1,0,1
735431,171,0,635,9974,1,0,1
735432,371,0,3664,9767,1,0,1
735433,143,0,5609,9473,1,0,1
735434,65535,255,6687,-7204,0,0,1
735435,509,2,5497,-7484,1,0,1
735436,71,2,539,-7991,1,0,1
735437,70,2,2761,9869,1,0,1
735438,481,0,5059,9599,1,0,1
735439,363,0,6462,9327,1,0,1
735440,351,0,5959,-7393,1,0,1
735441,404,0,1671,-7863,1,0,1
735442,66,2,1726,9813,1,0,1
735443,98,0,4407,9667,1,0,1
735444,527,0,6059,9430,1,0,1
735445,150,0,6355,-7266,1,0,1
