sdate,line_t,line_tmq,line_tvza,line_tvaa,line_tm2,line_QFDNB,line_tm_buf
735235,65535,255,6043,-8465,0,0,0
735236,65535,255,4257,-8250,0,0,0
735237,65535,255,1301,-7995,0,0,0
735238,65535,255,2270,10080,0,0,0
735239,702,0,4830,10292,1,0,1
735240,1292,0,6345,10476,1,0,1
735241,65535,255,4954,-8371,0,0,0
735242,65535,255,2416,-8090,0,0,0
735243,65535,255,1147,9855,0,0,0
735244,65535,255,4125,10189,0,0,0
735245,65535,255,5926,10383,0,0,0
735246,65535,255,5538,-8404,0,0,0
735247,0,0,0,0,0,0,0
735248,0,0,0,0,0,0,0
735249,65535,255,3291,10066,0,0,0
735250,65535,255,5433,10316,0,0,0
735251,65535,255,6033,-8463,0,0,0
735252,65535,255,4243,-8296,0,0,0
735253,65535,255,1283,-8078,0,0,0
735254,387,2,2280,9960,1,0,0
735255,761,0,4833,10243,1,0,1
735256,595,0,6345,10444,1,0,1
735257,440,0,4955,-8311,1,0,1
735258,65535,255,2426,-8143,0,0,0
735259,65535,255,1130,9968,0,0,0
735260,65535,255,4112,10158,0,0,0
735261,65535,255,5913,10394,0,0,0
735262,65535,255,5552,-8409,0,0,0
735263,65535,255,3426,-8195,0,0,0
735264,65535,255,107,-9192,0,0,0
735265,65535,255,3249,10105,0,0,0
735266,65535,255,5405,10352,0,0,0
735267,65535,255,6052,-8479,0,0,0
735268,763,0,4273,-8258,1,0,1
735269,65535,255,1334,-7957,0,0,0
735270,65535,255,2233,10122,0,0,0
735271,65535,255,4802,10228,0,0,0
735272,65535,255,6327,10437,0,0,0
735273,65535,255,4979,-8314,0,0,0
735274,65535,255,2471,-8159,0,0,0
735275,65535,255,1079,10027,0,0,0
735276,65535,255,4077,10177,0,0,0
735277,65535,255,5894,10413,0,0,0
735278,0,0,0,0,0,0,0
735279,613,2,3464,-8259,1,0,0
735280,65535,255,153,-7122,0,0,0
735281,65535,255,3209,10136,0,0,0
735282,65535,255,5385,10325,0,0,0
735283,1027,0,6068,-8479,1,0,0
735284,65535,255,4301,-8321,0,0,0
735285,739,0,1376,-8061,1,0,1
735286,618,0,2191,10120,1,0,1
735287,1057,0,4779,10225,1,0,1
735288,686,0,6314,10442,1,0,1
735289,65535,255,5001,-8326,0,0,0
735290,723,0,2505,-8186,1,0,1
735291,711,0,1038,10058,1,0,1
735292,65535,255,4051,10175,0,0,0
735293,65535,255,5878,10407,0,0,0
735294,65535,255,5590,-8422,0,0,0
735295,65535,255,3494,-8235,0,0,0
735296,65535,255,198,-6650,0,0,0
735297,705,0,3183,10086,1,0,0
735298,876,0,5368,10294,1,0,0
735299,0,0,0,0,0,0,0
735300,65535,255,4327,-8282,0,0,0
735301,65535,255,1419,-8063,0,0,0
735302,65535,255,2160,9956,0,0,1
735303,65535,255,4756,10252,0,0,0
735304,65535,255,6300,10455,0,0,0
735305,0,0,0,0,0,0,0
735306,65535,255,2545,-8225,0,0,0
735307,65535,255,998,10154,0,0,0
735308,65535,255,4024,10224,0,0,0
735309,65535,255,5864,10379,0,0,0
735310,1435,0,5606,-8397,1,0,1
735311,65535,255,3520,-8193,0,0,0
735312,65535,255,235,-8859,0,0,0
735313,65535,255,3152,10084,0,0,0
735314,0,0,0,0,0,0,0
735315,65535,255,6096,-8463,0,0,0
735316,886,0,4352,-8317,1,0,1
735317,65535,255,1453,-8228,0,0,0
735318,65535,255,2127,10089,0,0,0
735319,0,0,0,0,0,0,0
735320,65535,255,6291,10442,0,0,0
735321,65535,255,5042,-8330,0,0,0
735322,65535,255,2569,-8226,0,0,0
735323,65535,255,975,9751,0,0,0
735324,65535,255,4009,10135,0,0,0
735325,988,0,5854,10399,1,0,0
735326,65535,255,5620,-8430,0,0,0
735327,0,0,0,0,0,0,0
735328,65535,255,256,-8020,0,0,0
735329,65535,255,3139,10043,0,0,0
735330,65535,255,5343,10292,0,0,0
735331,65535,255,6106,-8464,0,0,0
735332,65535,255,4366,-8330,0,0,0
735333,65535,255,1470,-7959,0,0,0
735334,65535,255,2112,9935,0,0,0
735335,65535,255,4730,10268,0,0,0
735336,65535,255,6286,10441,0,0,0
735337,65535,255,5052,-8364,0,0,0
735338,65535,255,2584,-8215,0,0,0
735339,65535,255,957,9781,0,0,0
735340,894,0,4002,10164,1,0,1
735341,567,2,5851,10356,1,0,0
735342,1217,0,5625,-8394,1,0,1
735343,65535,255,3549,-8221,0,0,0
735344,65535,255,268,-7649,0,0,0
735345,65535,255,3124,10190,0,0,0
735346,945,0,5340,10296,1,0,0
735347,65535,255,6109,-8472,0,0,0
735348,65535,255,4369,-8259,0,0,0
735349,779,0,1475,-8113,1,0,1
735350,737,0,2106,10074,1,0,1
735351,1155,0,4729,10233,1,0,1
735352,65535,255,6284,10464,0,0,1
735353,720,0,5053,-8384,1,0,1
735354,877,0,2584,-8202,1,0,1
735355,834,0,957,9817,1,0,1
735356,909,0,4001,10186,1,0,1
735357,65535,255,5851,10378,0,0,0
735358,1294,0,5626,-8426,1,0,1
735359,881,0,3547,-8249,1,0,1
735360,796,0,266,-7025,1,0,1
735361,789,0,3129,10161,1,0,1
735362,1212,0,5343,10292,1,0,1
735363,1427,0,6108,-8479,1,0,1
735364,1014,0,4366,-8285,1,0,1
735365,998,0,1470,-8248,1,0,1
735366,1035,0,2117,9952,1,0,1
735367,65535,255,4736,10210,0,0,0
735368,1438,0,6287,10454,1,0,1
735369,1102,0,5048,-8383,1,0,1
735370,860,0,2574,-8238,1,0,1
735371,65535,255,968,9992,0,0,0
735372,65535,255,4009,10231,0,0,1
735373,65535,255,5857,10378,0,0,0
735374,711,0,5618,-8407,1,0,0
735375,65535,255,3537,-8289,0,0,0
735376,65535,255,248,-7079,0,0,0
735377,65535,255,3143,10191,0,0,0
735378,0,0,0,0,0,0,0
735379,65535,255,6098,-8451,0,0,0
735380,1192,0,4349,-8243,1,0,1
735381,725,0,1447,-8160,1,0,1
735382,65535,255,2137,9963,0,0,0
735383,65535,255,4749,10212,0,0,0
735384,65535,255,6295,10466,0,0,0
735385,65535,255,5030,-8328,0,0,0
735386,708,0,2545,-8137,1,0,1
735387,802,0,998,9793,1,0,1
735388,65535,255,4024,10203,0,0,0
735389,65535,255,5866,10410,0,0,0
735390,1225,0,5603,-8410,1,0,1
735391,964,0,3511,-8166,1,0,0
735392,841,0,216,-7556,1,0,1
735393,852,2,3169,10096,1,0,1
735394,1047,0,5363,10318,1,0,1
735395,1195,0,6085,-8485,1,0,1
735396,931,0,4327,-8315,1,0,1
735397,65535,255,1413,-8087,0,0,0
735398,65535,255,2164,10151,0,0,0
735399,921,0,4766,10214,1,0,0
735400,716,2,6305,10472,1,0,1
735401,65535,255,5013,-8348,0,0,0
735402,818,2,2515,-8198,1,0,0
735403,579,0,1032,9995,1,0,0
735404,65535,255,4055,10147,0,0,0
735405,1309,0,5880,10378,1,0,1
735406,65535,255,5583,-8385,0,0,0
735407,0,0,0,0,0,0,0
735408,65535,255,173,-6845,0,0,0
735409,65535,255,3201,10079,0,0,0
735410,734,0,5382,10331,1,0,1
735411,65535,255,6069,-8491,0,0,0
735412,830,0,4301,-8319,1,0,1
