sdate,line_t,line_tmq,line_tvza,line_tvaa,line_tm2,line_QFDNB,line_tm_buf
735235,65535,255,1688,10054,0,0,0
735236,6,0,4220,9662,1,0,1
735237,65535,255,5846,9404,0,0,1
735238,65535,255,4645,-7422,0,0,0
735239,65535,255,2414,-7687,0,0,0
735240,65535,255,661,10133,0,0,0
735241,65535,255,3500,9692,0,0,0
735242,65535,255,5391,9499,0,0,0
735243,65535,255,5180,-7289,0,0,0
735244,3,0,3262,-7589,1,0,1
735245,65535,255,395,-7756,0,0,0
735246,65535,255,2660,9857,0,0,0
735247,3,0,4863,9545,1,0,1
735248,1,0,6254,9272,1,0,1
735249,1,0,3996,-7485,1,0,1
735250,65535,255,1434,-7838,0,0,0
735251,5,0,1709,9955,1,0,1
735252,7,0,4235,9626,1,0,1
735253,65535,255,5852,9382,0,0,0
735254,65535,255,4642,-7387,0,0,0
735255,65535,255,2414,-7594,0,0,0
735256,65535,255,654,10020,0,0,1
735257,65535,255,3491,9763,0,0,0
735258,65535,255,5386,9461,0,0,0
735259,5,0,5188,-7318,1,0,1
735260,65535,255,3280,-7643,0,0,0
735261,65535,255,430,-8146,0,0,1
735262,65535,255,2634,9799,0,0,1
735263,65535,255,4840,9565,0,0,1
735264,65535,255,6239,9287,0,0,0
735265,65535,255,4026,-7429,0,0,0
735266,65535,255,1480,-7675,0,0,1
735267,2,0,1666,9861,1,0,0
735268,65535,255,4203,9705,0,0,0
735269,65535,255,5832,9373,0,0,0
735270,3,0,4666,-7377,1,0,1
735271,65535,255,2449,-7592,0,0,0
735272,65535,255,614,10076,0,0,0
735273,65535,255,3458,9776,0,0,0
735274,5,0,5364,9480,1,0,1
735275,65535,255,5206,-7263,0,0,0
735276,65535,255,3307,-7546,0,0,0
735277,1,0,466,-7414,1,0,1
735278,65535,255,2599,9888,0,0,0
735279,65535,255,4817,9573,0,0,0
735280,65535,255,6224,9291,0,0,0
735281,65535,255,4049,-7506,0,0,0
735282,1,0,1512,-7608,1,0,1
735283,65535,255,1633,9803,0,0,1
735284,65535,255,4178,9695,0,0,0
735285,65535,255,5818,9367,0,0,0
735286,65535,255,4682,-7385,0,0,0
735287,65535,255,2479,-7615,0,0,0
735288,65535,255,579,10255,0,0,0
735289,65535,255,3432,9805,0,0,1
735290,65535,255,5348,9483,0,0,0
735291,3,0,5221,-7264,1,0,1
735292,65535,255,3330,-7543,0,0,0
735293,65535,255,501,-7373,0,0,0
735294,65535,255,2569,9855,0,0,1
735295,65535,255,4797,9595,0,0,0
735296,65535,255,6211,9305,0,0,0
735297,65535,255,4072,-7466,0,0,1
735298,3,0,1545,-7799,1,0,1
735299,3,0,1594,9967,1,0,1
735300,65535,255,4156,9636,0,0,0
735301,65535,255,5802,9392,0,0,0
735302,9,0,4702,-7410,1,0,1
735303,4,0,2508,-7675,1,0,1
735304,4,0,545,10454,1,0,1
735305,65535,255,3407,9693,0,0,0
735306,65535,255,5330,9511,0,0,0
735307,65535,255,5238,-7296,0,0,0
735308,65535,255,3356,-7612,0,0,0
735309,7,0,534,-7957,1,0,0
735310,65535,255,2540,9794,0,0,0
735311,5,0,4781,9574,1,0,1
735312,65535,255,6199,9301,0,0,0
