sdate,line_t,line_tmq,line_tvza,line_tvaa,line_tm2,line_QFDNB,line_tm_buf
735235,2671,1,4504,9781,1,0,1
735236,4264,1,6290,9788,1,0,1
735237,65535,255,5729,-8006,0,0,0
735238,543,0,3525,-8079,1,0,0
735239,513,0,91,7921,1,0,1
735240,491,0,3651,9796,1,0,1
735241,549,0,5804,9802,1,0,1
735242,488,0,6221,-7997,1,0,1
735243,65535,255,4398,-8010,0,0,1
735244,65535,255,1231,-8150,0,0,0
735245,552,0,2623,9860,1,0,0
735246,692,0,5226,9839,1,0,1
735247,480,0,6640,-7996,1,0,1
735248,687,0,5119,-8063,1,0,1
735249,472,0,2443,-8033,1,0,0
735250,527,0,1428,9904,1,0,1
735251,65535,255,4521,9843,0,0,0
735252,529,0,6296,9784,1,0,1
735253,510,0,5720,-8041,1,0,1
735254,544,0,3512,-8010,1,0,1
735255,1829,0,88,10887,1,0,0
735256,1082,0,3647,9861,1,0,0
735257,65535,255,5800,9802,0,0,0
735258,65535,255,6223,-7988,0,0,0
735259,65535,255,4408,-8041,0,0,0
735260,65535,255,1259,-8281,0,0,0
735261,0,0,0,0,0,0,0
735262,809,0,5209,9778,1,0,1
735263,65535,255,6649,-7981,0,0,0
735264,938,0,5142,-8067,1,0,1
735265,519,0,2488,-8047,1,0,0
735266,866,0,1372,9712,1,0,1
735267,742,0,4488,9800,1,0,1
735268,1023,0,6276,9800,1,0,1
735269,500,0,5741,-8023,1,0,1
735270,65535,255,3559,-8121,0,0,0
735271,584,0,34,10518,1,0,0
735272,65535,255,3605,9854,0,0,0
735273,65535,255,5777,9807,0,0,0
735274,65535,255,6242,-7995,0,0,0
735275,65535,255,4439,-8059,0,0,0
735276,65535,255,1305,-7968,0,0,0
735277,65535,255,2554,9774,0,0,0
735278,65535,255,5181,9804,0,0,0
735279,65535,255,6664,-7975,0,0,1
735280,815,0,5162,-8031,1,0,1
735281,65535,255,2533,-8160,0,0,0
735282,65535,255,1321,9959,0,0,0
735283,740,0,4456,9798,1,0,1
735284,65535,255,6260,9789,0,0,0
735285,989,0,5759,-8017,1,0,0
735286,749,0,3589,-8111,1,0,1
735287,65535,255,13,-9887,0,0,0
735288,65535,255,3572,9863,0,0,1
735289,539,0,5760,9778,1,0,1
735290,65535,255,6255,-8002,0,0,0
735291,65535,255,4463,-8071,0,0,0
735292,65535,255,1344,-7971,0,0,0
735293,608,0,2515,9761,1,0,1
735294,911,0,5159,9794,1,0,1
735295,65535,255,6668,9793,0,0,0
735296,65535,255,5185,-8009,0,0,0
735297,65535,255,2567,-8096,0,0,0
735298,65535,255,1281,9808,0,0,0
735299,685,0,4430,9826,1,0,1
735300,0,0,0,0,0,0,0
735301,571,2,5778,-8042,1,0,1
735302,65535,255,3618,-8026,0,0,0
735303,65535,255,67,-11037,0,0,0
735304,65535,255,3538,9898,0,0,0
735305,1713,0,5741,9791,1,0,1
735306,1036,0,6271,-8016,1,0,1
735307,65535,255,4490,-8025,0,0,0
735308,65535,255,1389,-8118,0,0,0
735309,65535,255,2475,9863,0,0,0
735310,1046,0,5138,9846,1,0,1
735311,65535,255,6656,9777,0,0,1
735312,925,0,5202,-7999,1,0,1
735313,65535,255,2602,-8083,0,0,0
735314,0,0,0,0,0,0,0
735315,0,0,0,0,0,0,0
735316,0,0,0,0,0,0,0
735317,0,0,0,0,0,0,0
735318,729,0,3646,-8092,1,0,1
735319,65535,255,93,-8007,0,0,0
735320,65535,255,3516,9865,0,0,0
735321,65535,255,5731,9779,0,0,0
735322,0,0,0,0,0,0,0
735323,65535,255,4507,-8007,0,0,1
735324,65535,255,1417,-8188,0,0,0
735325,65535,255,2450,9928,0,0,0
735326,668,0,5127,9795,1,0,1
735327,65535,255,6648,9805,0,0,0
735328,788,0,5219,-8044,1,0,1
735329,65535,255,2627,-8034,0,0,0
735330,65535,255,1219,9751,0,0,0
735331,65535,255,4393,9840,0,0,0
735332,65535,255,6226,9779,0,0,0
735333,65535,255,5801,-8016,0,0,0
735334,65535,255,3659,-8010,0,0,0
735335,65535,255,122,-9107,0,0,0
735336,1509,0,3508,9804,1,0,1
735337,65535,255,5723,9827,0,0,0
735338,686,0,6289,-8007,1,0,1
735339,796,0,4520,-8013,1,0,1
735340,65535,255,1435,-8257,0,0,0
735341,65535,255,2440,9785,0,0,0
735342,65535,255,5121,9831,0,0,0
735343,65535,255,6648,9785,0,0,0
735344,65535,255,5224,-8023,0,0,0
735345,65535,255,2632,-8010,0,0,0
735346,65535,255,1214,9750,0,0,0
735347,65535,255,4389,9853,0,0,0
735348,1947,0,6223,9795,1,0,0
735349,65535,255,5808,-8041,0,0,1
735350,605,0,3666,-8075,1,0,0
735351,65535,255,117,-8314,0,0,0
735352,749,0,3506,9806,1,0,1
735353,65535,255,5722,9818,0,0,0
735354,65535,255,6290,-8003,0,0,0
735355,65535,255,4520,-8019,0,0,1
735356,0,0,0,0,0,0,0
735357,65535,255,2440,9838,0,0,0
735358,4740,0,5123,9785,1,0,1
735359,0,0,0,0,0,0,0
735360,513,2,5221,-8003,1,0,1
735361,65535,255,2629,-8093,0,0,0
735362,65535,255,1219,9753,0,0,0
735363,65535,255,4392,9866,0,0,0
735364,65535,255,6227,9806,0,0,0
735365,65535,255,5801,-8002,0,0,0
735366,65535,255,3658,-8011,0,0,0
735367,65535,255,108,-6783,0,0,0
735368,65535,255,3511,9883,0,0,0
735369,2333,0,5727,9818,1,0,1
735370,65535,255,6286,-8011,0,0,0
735371,65535,255,4513,-8045,0,0,0
