sdate,line_t,line_tmq,line_tvza,line_tvaa,line_tm2,line_QFDNB,line_tm_buf
735235,653,0,847,9730,1,0,1
735236,743,0,3538,9712,1,0,1
735237,509,0,5359,9434,1,0,1
735238,684,0,4939,-7201,1,0,1
735239,577,0,2989,-7505,1,0,1
735240,426,0,177,-6838,1,0,1
735241,460,0,2742,9920,1,0,1
735242,818,0,4846,9534,1,0,1
735243,450,0,5413,-7153,1,0,1
735244,72,0,3731,-7428,1,0,1
735245,491,0,1175,-7876,1,0,1
735246,71,0,1847,10056,1,0,1
735247,453,0,4250,9681,1,0,1
735248,65535,255,5818,9352,0,0,0
735249,413,0,4373,-7359,1,0,1
735250,571,0,2120,-7623,1,0,1
735251,488,0,864,10273,1,0,1
735252,466,0,3551,9693,1,0,1
735253,65535,255,5367,9423,0,0,0
735254,65535,255,4934,-7234,0,0,0
735255,936,0,2985,-7463,1,0,0
735256,151,0,182,-7672,1,0,0
735257,818,0,2737,9865,1,0,0
735258,574,0,4839,9555,1,0,0
735259,615,0,5419,-7123,1,0,1
735260,419,0,3743,-7378,1,0,1
735261,65535,255,1197,-7676,0,0,0
735262,439,0,1819,9916,1,0,1
735263,65535,255,4229,9624,0,0,0
735264,72,2,5798,9382,1,0,1
735265,326,0,4396,-7310,1,0,1
735266,294,0,2157,-7529,1,0,1
735267,65535,255,817,10087,0,0,0
735268,988,1,3517,9792,1,0,1
735269,65535,255,5342,9481,0,0,0
735270,571,0,4957,-7257,1,0,1
735271,65535,255,3018,-7459,0,0,0
735272,409,0,220,-6575,1,0,1
735273,296,0,2703,9893,1,0,1
735274,79,2,4816,9527,1,0,1
735275,52,0,5435,-7143,1,0,1
735276,65535,255,3768,-7414,0,0,0
735277,366,0,1237,-7835,1,0,1
735278,65535,255,1781,10067,0,0,0
735279,391,0,4203,9682,1,0,1
735280,204,0,5784,9355,1,0,1
735281,19,0,4413,-7276,1,0,1
735282,65535,255,2189,-7704,0,0,0
735283,386,0,782,9964,1,0,1
735284,352,0,3492,9778,1,0,1
735285,285,0,5327,9479,1,0,1
735286,405,0,4971,-7205,1,0,1
735287,413,0,3042,-7477,1,0,1
735288,324,0,251,-7132,1,0,1
735289,170,0,2674,9932,1,0,1
735290,159,0,4797,9536,1,0,1
735291,188,0,5447,-7147,1,0,1
735292,65535,255,3787,-7418,0,0,0
735293,65535,255,1265,-7804,0,0,0
735294,0,0,0,0,0,0,0
735295,65535,255,4181,9658,0,0,0
735296,446,0,5769,9337,1,0,1
735297,488,0,4434,-7341,1,0,1
735298,65535,255,2215,-7612,0,0,0
735299,477,0,748,10317,1,0,1
735300,437,0,3466,9704,1,0,1
735301,244,0,5311,9434,1,0,1
735302,423,0,4988,-7206,1,0,1
735303,485,0,3070,-7525,1,0,1
735304,65535,255,285,-7561,0,0,0
735305,306,2,2644,9780,1,0,1
735306,298,0,4778,9563,1,0,1
735307,310,0,5460,-7103,1,0,1
735308,65535,255,3812,-7477,0,0,0
735309,65535,255,1293,-7618,0,0,0
735310,529,0,1721,9924,1,0,1
735311,65535,255,4160,9641,0,0,0
735312,65535,255,5754,9397,0,0,0
735313,398,0,4451,-7344,1,0,1
735314,538,0,2242,-7638,1,0,1
735315,65535,255,725,9780,0,0,0
735316,559,0,3445,9759,1,0,1
735317,445,0,5298,9471,1,0,1
735318,418,0,4998,-7210,1,0,1
735319,377,0,3088,-7473,1,0,1
735320,65535,255,309,-7259,0,0,0
735321,506,0,2624,9952,1,0,1
735322,65535,255,4765,9565,0,0,0
735323,111,0,5470,-7114,1,0,1
735324,65535,255,3824,-7381,0,0,0
735325,745,1,1316,-7770,1,0,1
735326,519,0,1699,10061,1,0,1
735327,266,0,4146,9698,1,0,1
735328,0,0,0,0,0,0,0
735329,441,0,4464,-7323,1,0,1
735330,514,0,2257,-7607,1,0,1
735331,522,0,707,9775,1,0,1
735332,533,0,3432,9770,1,0,1
735333,544,0,5289,9488,1,0,1
735334,498,0,5008,-7202,1,0,1
735335,659,0,3101,-7550,1,0,1
735336,539,0,326,-8299,1,0,1
735337,585,0,2614,9905,1,0,1
735338,65535,255,4761,9560,0,0,0
