sdate,line_t,line_tmq,line_tvza,line_tvaa,line_tm2,line_QFDNB,line_tm_buf
735235,229,0,3575,-7863,1,0,1
735236,549,0,187,-7656,1,0,1
735237,490,0,3318,9800,1,0,1
735238,343,0,5547,9608,1,0,1
735239,65535,255,6142,-7679,0,0,0
735240,344,0,4401,-7895,1,0,1
735241,65535,255,1428,-8105,0,0,0
735242,507,0,2283,9884,1,0,1
735243,617,2,4943,9708,1,0,1
735244,464,2,6494,9563,1,0,1
735245,616,0,5082,-7842,1,0,1
735246,599,2,2562,-7952,1,0,1
735247,135,2,1112,9661,1,0,1
735248,696,2,4219,9767,1,0,1
735249,65535,255,6068,9596,0,0,0
735250,65535,255,5650,-7753,0,0,0
735251,65535,255,3554,-7924,0,0,1
735252,65535,255,164,-8812,0,0,0
735253,104,2,3336,9716,1,0,0
735254,431,0,5553,9631,1,0,1
735255,65535,255,6139,-7695,0,0,0
735256,65535,255,4395,-7825,0,0,0
735257,298,0,1430,-7895,1,0,1
735258,65535,255,2273,9928,0,0,0
735259,415,0,4934,9716,1,0,1
735260,65535,255,6488,9534,0,0,0
735261,298,0,5096,-7846,1,0,1
735262,414,0,2592,-7951,1,0,1
735263,303,0,1073,9655,1,0,1
735264,711,0,4187,9762,1,0,1
735265,336,0,6047,9591,1,0,1
735266,65535,255,5671,-7751,0,0,0
735267,133,2,3588,-7863,1,0,1
735268,65535,255,215,-7865,0,0,0
735269,462,0,3287,9820,1,0,1
735270,707,0,5528,9619,1,0,1
735271,65535,255,6156,-7689,0,0,0
735272,79,0,4425,-7823,1,0,1
735273,710,2,1479,-7855,1,0,1
735274,504,0,2231,9728,1,0,1
735275,277,2,4907,9656,1,0,1
735276,790,2,6471,9535,1,0,1
735277,65535,255,5116,-7792,0,0,1
735278,437,0,2631,-8034,1,0,1
735279,424,0,1020,9907,1,0,0
735280,248,0,4159,9709,1,0,1
735281,65535,255,6031,9568,0,0,0
735282,65535,255,5691,-7767,0,0,0
735283,523,0,3623,-7968,1,0,1
735284,251,0,262,-7517,1,0,0
735285,280,0,3256,9813,1,0,0
735286,65535,255,5509,9616,0,0,0
735287,357,0,6169,-7694,1,0,1
735288,186,0,4449,-7834,1,0,0
735289,490,0,1518,-7922,1,0,1
735290,65535,255,2194,9758,0,0,0
735291,934,1,4884,9663,1,0,1
735292,344,0,6457,9533,1,0,1
735293,682,2,5137,-7785,1,0,1
735294,703,1,2666,-8008,1,0,1
735295,270,0,979,9773,1,0,1
735296,489,0,4128,9726,1,0,1
735297,0,0,0,0,0,0,0
735298,65535,255,5706,-7743,0,0,0
735299,65535,255,3650,-7909,0,0,0
735300,65535,255,308,-8456,0,0,0
735301,65535,255,3225,9719,0,0,0
735302,65535,255,5488,9641,0,0,0
735303,128,2,6185,-7711,1,0,0
735304,544,2,4476,-7857,1,0,1
735305,556,2,1561,-7985,1,0,1
735306,65535,255,2152,9818,0,0,0
735307,65535,255,4860,9693,0,0,0
735308,65535,255,6442,9556,0,0,0
735309,659,2,5156,-7829,1,0,1
735310,271,2,2696,-7934,1,0,1
735311,382,2,945,9630,1,0,1
735312,263,2,4103,9776,1,0,1
735313,482,2,5998,9608,1,0,0
735314,45,2,5723,-7745,1,0,0
735315,799,1,3678,-7932,1,0,1
735316,673,2,339,-7343,1,0,1
735317,536,0,3197,9788,1,0,1
735318,506,0,5472,9659,1,0,1
735319,763,1,6196,-7690,1,0,1
735320,391,0,4493,-7831,1,0,1
735321,480,1,1589,-7943,1,0,1
735322,524,0,2125,9804,1,0,1
735323,65535,255,4845,9699,0,0,0
735324,65535,255,6434,9568,0,0,0
735325,65535,255,5170,-7772,0,0,0
735326,65535,255,2721,-8016,0,0,0
735327,305,0,915,9949,1,0,0
735328,681,0,4088,9734,1,0,0
735329,777,2,5990,9593,1,0,1
735330,649,2,5732,-7736,1,0,1
735331,65535,255,3694,-7930,0,0,0
735332,65535,255,362,-7481,0,0,0
735333,365,2,3179,9817,1,0,1
735334,283,0,5467,9629,1,0,1
735335,65535,255,6203,-7716,0,0,1
735336,65535,255,4506,-7892,0,0,0
735337,65535,255,1606,-7862,0,0,0
735338,264,0,2115,9774,1,0,1
735339,65535,255,4839,9700,0,0,1
735340,683,0,6431,9576,1,0,1
735341,417,2,5179,-7797,1,0,1
735342,130,2,2730,-7911,1,0,1
735343,65535,255,910,9694,0,0,0
735344,65535,255,4084,9706,0,0,0
735345,565,0,5990,9585,1,0,1
735346,548,0,5735,-7739,1,0,1
735347,770,0,3702,-7946,1,0,0
735348,65535,255,366,-7849,0,0,0
735349,325,0,3179,9721,1,0,0
735350,649,0,5464,9667,1,0,1
735351,495,0,6205,-7693,1,0,1
735352,65535,255,4510,-7867,0,0,0
735353,507,0,1611,-8126,1,0,1
735354,473,0,2115,9775,1,0,1
735355,736,0,4838,9706,1,0,1
735356,103,2,6433,9533,1,0,1
735357,108,2,5178,-7822,1,0,0
735358,344,0,2735,-7991,1,0,1
735359,301,2,909,10024,1,0,0
735360,490,0,4087,9785,1,0,1
735361,65535,255,5992,9573,0,0,0
735362,65535,255,5735,-7735,0,0,0
735363,65535,255,3698,-7962,0,0,0
735364,65535,255,361,-8310,0,0,0
