sdate,line_t,line_tmq,line_tvza,line_tvaa,line_tm2,line_QFDNB,line_tm_buf
735235,65535,255,3976,9690,0,0,0
735236,665,2,5584,9368,3,0,0
735237,611,1,4349,-7258,3,0,0
735238,617,1,2210,-7509,1,0,1
735239,555,0,631,10261,1,0,1
735240,65535,255,3275,9858,0,0,0
735241,474,0,5127,9512,1,0,0
735242,396,0,4876,-7101,1,0,1
735243,65535,255,3008,-7407,0,0,0
735244,259,0,339,-7058,1,0,1
735245,534,0,2485,9943,1,0,1
735246,61,2,4604,9554,1,0,1
735247,65535,255,5336,-6985,0,0,0
735248,65535,255,3715,-7350,0,0,0
735249,65535,255,1293,-7787,0,0,0
735250,0,0,0,0,0,0,0
735251,538,0,3991,9740,1,0,1
735252,65535,255,5592,9371,0,0,0
735253,65535,255,4339,-7186,0,0,0
735254,65535,255,2199,-7584,0,0,0
735255,853,1,637,9902,1,0,1
735256,65535,255,3279,9754,0,0,0
735257,470,0,5128,9456,1,0,1
735258,567,0,4883,-7116,1,0,1
735259,517,0,3018,-7426,1,0,1
735260,548,1,355,-7275,1,0,1
735261,670,0,2465,9958,1,0,1
735262,65535,255,4587,9557,0,0,0
735263,65535,255,5349,-6981,0,0,0
735264,65535,255,3740,-7337,0,0,0
735265,0,0,0,0,0,0,0
735266,373,0,1561,10053,1,0,1
735267,524,0,3965,9693,1,0,0
735268,65535,255,5574,9353,0,0,0
735269,65535,255,4363,-7267,0,0,0
735270,65535,255,2236,-7549,0,0,0
735271,65535,255,591,10442,0,0,0
735272,538,0,3248,9749,1,0,1
735273,0,0,0,0,0,0,0
735274,65535,255,4901,-7128,0,0,0
735275,1571,0,3047,-7463,3,0,0
735276,65535,255,395,-7655,0,0,0
735277,65535,255,2437,9820,0,0,0
735278,785,2,4564,9598,3,0,0
735279,65535,255,5363,-7020,0,0,0
735280,640,0,3760,-7286,3,0,0
735281,65535,255,1361,-7577,0,0,0
735282,65535,255,1529,9973,0,0,0
735283,65535,255,3942,9666,0,0,0
735284,871,0,5557,9412,1,0,1
735285,65535,255,4380,-7262,0,0,0
735286,577,0,2263,-7546,1,0,0
735287,672,1,566,10000,1,0,1
735288,65535,255,3221,9771,0,0,0
735289,65535,255,5089,9479,0,0,0
735290,65535,255,4916,-7141,0,0,0
735291,435,0,3070,-7478,1,0,1
735292,65535,255,424,-7735,0,0,0
735293,65535,255,2407,9809,0,0,0
735294,65535,255,4547,9589,0,0,0
735295,65535,255,5377,-7006,0,0,1
735296,134,0,3784,-7377,1,0,1
735297,65535,255,1390,-7480,0,0,0
735298,65535,255,1500,9952,0,0,0
735299,65535,255,3916,9737,0,0,0
735300,65535,255,5541,9374,0,0,0
735301,0,0,0,0,0,0,0
735302,65535,255,2289,-7627,0,0,0
735303,557,0,533,9863,1,0,1
735304,65535,255,3194,9804,0,0,0
735305,65535,255,5072,9493,0,0,0
735306,386,0,4928,-7082,1,0,1
735307,416,0,3093,-7376,1,0,1
735308,1006,2,460,-8238,1,0,0
735309,65535,255,2377,9931,0,0,0
735310,363,0,4526,9623,1,0,1
735311,594,0,5388,-6984,1,0,1
735312,65535,255,3800,-7358,0,0,0
735313,1017,0,1418,-7493,1,0,0
735314,814,0,1474,9863,1,0,1
735315,65535,255,3897,9755,0,0,0
735316,647,0,5529,9396,1,0,1
735317,622,0,4414,-7248,1,0,1
735318,65535,255,2310,-7526,0,0,0
735319,65535,255,505,10574,0,0,0
735320,410,0,3177,9767,1,0,1
735321,65535,255,5060,9480,0,0,0
735322,352,0,4940,-7080,1,0,1
735323,65535,255,3110,-7393,0,0,0
735324,561,0,477,-7318,1,0,1
735325,65535,255,2358,9988,0,0,0
735326,353,0,4516,9588,1,0,1
735327,476,0,5399,-7025,1,0,1
735328,390,0,3812,-7317,1,0,1
735329,65535,255,1435,-7736,0,0,0
735330,378,0,1451,10163,1,0,1
735331,398,0,3885,9751,1,0,1
735332,360,0,5523,9402,1,0,1
735333,65535,255,4420,-7165,0,0,0
735334,65535,255,2326,-7593,0,0,0
735335,65535,255,492,9982,0,0,0
735336,65535,255,3167,9857,0,0,0
735337,65535,255,5054,9498,0,0,0
735338,292,2,4946,-7068,1,0,0
735339,514,0,3119,-7392,1,0,1
735340,385,0,488,-7463,1,0,1
735341,65535,255,2353,9841,0,0,0
735342,506,0,4509,9634,1,0,1
735343,65535,255,5401,-6995,0,0,0
735344,65535,255,3820,-7276,0,0,0
735345,480,0,1440,-7688,1,0,1
735346,65535,255,1451,10163,0,0,0
735347,65535,255,3885,9759,0,0,0
735348,65535,255,5523,9421,0,0,0
735349,65535,255,4424,-7202,0,0,0
735350,410,0,2326,-7482,1,0,1
735351,630,0,487,10529,1,0,1
735352,370,0,3167,9809,1,0,1
