sdate,line_t,line_tmq,line_tvza,line_tvaa,line_tm2,line_QFDNB,line_tm_buf
735235,265,0,5214,9818,1,0,1
735236,194,0,6632,-7923,1,0,1
735237,374,0,5116,-8034,1,0,1
735238,231,0,2449,-7984,1,0,1
735239,345,1,1411,9951,1,0,1
735240,273,1,4512,9798,1,0,1
735241,319,0,6293,9767,1,0,1
735242,268,0,5707,-7987,1,0,1
735243,220,0,3499,-8065,1,0,1
735244,65535,255,119,8393,0,0,0
735245,405,0,3663,9793,1,0,1
735246,232,2,5808,9796,1,0,1
735247,276,0,6201,-7957,1,0,1
735248,398,0,4371,-8010,1,0,1
735249,65535,255,1197,-8201,0,0,1
735250,419,0,2643,9793,1,0,1
735251,193,2,5229,9799,1,0,1
735252,180,0,6625,-7947,1,0,1
735253,65535,255,5102,-7998,0,0,0
735254,362,0,2438,-8087,1,0,1
735255,226,0,1422,9786,1,0,1
735256,65535,255,4514,9803,0,0,0
735257,65535,255,6290,9769,0,0,0
735258,65535,255,5712,-8008,0,0,0
735259,374,0,3512,-8107,1,0,1
735260,65535,255,87,9385,0,0,0
735261,65535,255,3640,9826,0,0,0
735262,294,0,5793,9769,1,0,1
735263,375,0,6215,-7964,1,0,1
735264,404,0,4398,-8022,1,0,1
735265,435,0,1254,-8223,1,0,1
735266,422,0,2589,9891,1,0,1
735267,271,0,5201,9764,1,0,1
735268,284,0,6640,-7930,1,0,1
735269,65535,255,5130,-7977,0,0,0
735270,410,0,2483,-8048,1,0,1
735271,328,0,1372,9735,1,0,1
735272,353,0,4480,9798,1,0,1
735273,0,0,0,0,0,0,0
735274,65535,255,5732,-8016,0,0,0
735275,327,0,3546,-7995,1,0,1
735276,65535,255,37,12341,0,0,0
735277,65535,255,3601,9869,0,0,0
735278,406,0,5774,9771,1,0,1
735279,349,0,6232,-7989,1,0,1
735280,65535,255,4429,-8072,0,0,0
735281,407,0,1298,-8063,1,0,1
735282,343,0,2549,9830,1,0,1
735283,85,2,5175,9821,1,0,0
735284,65535,255,6651,-7923,0,0,0
735285,332,0,5154,-8048,1,0,1
735286,65535,255,2523,-8035,0,0,0
735287,65535,255,1327,9731,0,0,0
735288,284,0,4450,9811,1,0,1
735289,242,0,6254,9747,1,0,1
735290,304,0,5746,-7959,1,0,0
735291,65535,255,3576,-8003,0,0,0
735292,65535,255,25,-14014,0,0,0
735293,65535,255,3568,9862,0,0,0
735294,65535,255,5755,9759,0,0,0
735295,323,0,6245,-7977,1,0,1
735296,65535,255,4456,-8045,0,0,0
735297,65535,255,1339,-7939,0,0,0
735298,65535,255,2510,9742,0,0,0
735299,387,0,5152,9786,1,0,1
735300,65535,255,6665,9729,0,0,0
735301,65535,255,5174,-8001,0,0,0
735302,65535,255,2562,-8110,0,0,0
735303,65535,255,1281,9831,0,0,0
735304,487,0,4423,9831,1,0,1
735305,388,0,6240,9755,1,0,1
735306,65535,255,5766,-7975,0,0,0
735307,0,0,0,0,0,0,0
735308,65535,255,64,-4644,0,0,0
735309,65535,255,3538,9794,0,0,0
735310,278,0,5735,9803,1,0,1
735311,383,0,6260,-7961,1,0,1
735312,65535,255,4480,-8032,0,0,0
735313,65535,255,1378,-7918,0,0,0
735314,0,0,0,0,0,0,0
735315,0,0,0,0,0,0,0
735316,65535,255,6654,9742,0,0,0
735317,65535,255,5193,-8030,0,0,0
735318,65535,255,2592,-8010,0,0,0
735319,65535,255,1248,9697,0,0,0
735320,65535,255,4406,9806,0,0,0
735321,65535,255,6230,9748,0,0,0
735322,0,0,0,0,0,0,0
735323,342,0,3630,-8060,1,0,1
735324,414,0,84,-6795,1,0,0
735325,65535,255,3521,9837,0,0,0
735326,418,0,5728,9760,1,0,1
735327,65535,255,6268,-7959,0,0,0
735328,65535,255,4493,-7994,0,0,0
735329,65535,255,1406,-8182,0,0,0
735330,65535,255,2455,9935,0,0,0
735331,0,0,0,0,0,0,0
735332,65535,255,6648,9746,0,0,0
735333,65535,255,5202,-7997,0,0,0
735334,65535,255,2611,-8071,0,0,0
735335,351,0,1230,9886,1,0,1
735336,485,0,4396,9762,1,0,1
735337,0,0,0,0,0,0,0
735338,65535,255,5786,-7961,0,0,0
735339,65535,255,3642,-8060,0,0,0
735340,65535,255,100,-7678,0,0,0
735341,65535,255,3508,9881,0,0,0
735342,65535,255,5723,9790,0,0,0
735343,65535,255,6275,-7967,0,0,0
735344,65535,255,4503,-8068,0,0,0
735345,65535,255,1417,-8135,0,0,0
735346,65535,255,2445,9935,0,0,0
735347,65535,255,5120,9807,0,0,0
735348,65535,255,6647,9760,0,0,0
735349,65535,255,5207,-7999,0,0,0
735350,65535,255,2612,-7974,0,0,0
735351,65535,255,1225,9724,0,0,0
735352,310,0,4395,9839,1,0,1
735353,65535,255,6224,9779,0,0,0
735354,65535,255,5788,-7961,0,0,0
735355,65535,255,3646,-8068,0,0,0
735356,0,0,0,0,0,0,0
735357,257,0,3512,9786,1,0,1
735358,419,0,5725,9752,1,0,1
735359,0,0,0,0,0,0,0
735360,65535,255,4500,-8038,0,0,0
735361,0,0,0,0,0,0,0
735362,65535,255,2450,9924,0,0,0
735363,65535,255,5126,9813,0,0,0
735364,65535,255,6649,9770,0,0,0
735365,65535,255,5204,-8030,0,0,0
735366,65535,255,2606,-8084,0,0,0
735367,65535,255,1236,9994,0,0,0
735368,484,0,4402,9820,1,0,1
735369,65535,255,6229,9779,0,0,0
735370,0,0,0,0,0,0,0
735371,65535,255,3638,-8101,0,0,0
735372,65535,255,92,-5390,0,0,0
735373,65535,255,3524,9864,0,0,0
735374,65535,255,5729,9804,0,0,0
735375,65535,255,6267,-7937,0,0,0
735376,65535,255,4489,-8038,0,0,0
735377,0,0,0,0,0,0,0
735378,337,0,2475,9781,1,0,0
735379,356,0,5137,9772,1,0,1
735380,0,0,0,0,0,0,0
735381,0,0,0,0,0,0,0
735382,0,0,0,0,0,0,0
735383,65535,255,1258,10018,0,0,0
735384,306,0,4416,9845,1,0,1
735385,0,0,0,0,0,0,0
735386,65535,255,5772,-8001,0,0,0
735387,0,0,0,0,0,0,0
735388,472,0,63,-11306,1,0,1
